Player,Encoded_Value
Abhishek Sharma,0
Adam Zampa,1
Adil Rashid,2
Aiden Markram (c),3
Akash Deep,4
Akash Madhwal,5
Akash Singh,6
Akeal Hosein,7
Alzarri Joseph,8
Andre Russell,9
Anrich Nortje,10
Anshul Kamboj,11
Anukul Roy,12
Arjun Tendulkar,13
Arshad Khan,14
Arshdeep,15
Avesh Khan,16
Axar Patel (c),17
Azmatullah,18
Badoni,19
Bhuvneshwar Kumar (c),20
Cameron Green,21
Chetan Sakariya,22
Chris Jordan,23
Daryl Mitchell,24
David Wiese,25
David Willey,26
Deepak Chahar,27
Dushmantha Chameera,28
Dwaine Pretorius,29
Ellis,30
Fazalhaq Farooqi,31
Gerald Coetzee,32
Glenn Maxwell,33
Glenn Phillips ,34
Gowtham,35
Gulbadin Naib,36
Haq,37
Hardik Pandya (c),38
Harpreet Brar,39
Harshal Patel,40
Harshit Rana,41
Henry,42
Himanshu Sharma,43
Hooda,44
Hrithik Shokeen,45
Ishant Sharma,46
Jacks,47
Jason Behrendorff,48
Jason Holder,49
Jasprit Bumrah,50
Jayant Yadav,51
Jaydev Unadkat,52
Jhye Richardson,53
Joe Root,54
Jofra Archer,55
Johnson,56
Josh Hazlewood,57
KM Asif,58
Karn Sharma,59
Kartik Tyagi,60
Kaverappa,61
Keshav Maharaj,62
Khaleel Ahmed,63
Krunal,64
Kuldeep Sen,65
Kuldeep Yadav,66
Kulwant Khejroliya,67
Kumar Kartikeya,68
Kwena Maphaka,69
Lalit Yadav,70
Little,71
Livingstone,72
Lizaad Williams,73
Lockie Ferguson,74
Luke Wood,75
M Ashwin,76
M Nabi,77
MW Short,78
Maheesh Theekshana,79
Mahipal Lomror,80
Marco Jansen,81
Matheesha Pathirana,82
Mayank Dagar,83
Mayank Markande,84
Mayers,85
Michael Bracewell,86
Mishra,87
Mitchell Marsh,88
Mitchell Santner,89
Mitchell Starc,90
Moeen Ali,91
Mohammed Siraj,92
Mohit,93
Mohsin Khan,94
Mukesh Choudhary,95
Mukesh Kumar,96
Mustafizur Rahman,97
Nalkande,98
Naman Dhir,99
Nandre Burger,100
Navdeep Saini,101
Nehal Wadhera,102
Nitish Kumar Reddy,103
Nitish Rana (c),104
Noor Ahmad,105
Nuwan Thushara,106
Pat Cummins (c),107
Piyush Chawla,108
RS Hangargekar,109
Rabada,110
Rashid Khan,111
Rasikh Salam,112
Ravi Bishnoi,113
Ravichandran Ashwin,114
Ravindra Jadeja,115
Raza,116
Reece Topley,117
Richard Gleeson,118
Riley Meredith,119
Riyan Parag,120
Rohit Sharma (c),121
Romario Shepherd,122
Rovman Powell,123
S Dhawan,124
Sai Kishore,125
Sam Curran,126
Sandeep Sharma,127
Shahbaz Ahmed,128
Shahrukh Khan,129
Shamar Joseph,130
Shami,131
Shams Mulani,132
Shardul Thakur,133
Shashank Singh,134
Shivam Dube,135
Shreyas Gopal,136
Siddharth,137
Simarjeet Singh,138
Sisanda Magala,139
Stoinis,140
Sumit Kumar,141
Sunil Narine,142
Suryakumar Yadav,143
Suthar,144
Suyash Sharma,145
Swapnil,146
T Natarajan,147
Tewatia,148
Tilak Varma,149
Tim Southee,150
Trent Boult,151
Tristan Stubbs,152
Tushar Deshpande,153
Umesh Yadav,154
Umran Malik,155
Unknown,156
Vaibhav Arora,157
Varun Chakravarthy,158
Venkatesh Iyer,159
Vijayakanth Viyaskanth,160
Vijaykumar Vyshak,161
Vivrant Sharma,162
Wanindu Hasaranga,163
Washington Sundar,164
Wayne Parnell,165
Yash Dayal,166
Yudhvir Singh,167
Yuzvendra Chahal,168
