Phase,Innings,Over,Batting_Team,Market_Favored_Team,Current_Score,Projected_Score,Current_Run_Rate,Required_Run_Rate,Market_Win_Probability,Model_Prob_Loss,Model_Prob_Win,Actual_Result,Actual_Outcome,Predicted_Result,Predicted_Outcome,Prediction_Correct,Bowling_Team,Model_Favored_Team,Model_Market_Diff,Abs_Model_Market_Diff,Value_Bet,Value_Category,Model_Win_Pct,Market_Win_Pct,Diff_Pct,Market_Favored_Win_Pct,Market_Favored_Probability,Market_Prob_Team,Market_Favors_Batting,Model_Market_Team_Agreement,over_num,ball_num,Model_Correct
,1,1.1.1,CSK,GT,6.0,103.0,5.14,,0.5632,0.51,0.49,0,Loss,0,Loss,True,Unknown,Unknown,-0.073,0.073,No,Slight Overvalued,49.0,56.3,-7.3,43.7,0.437,Unknown,False,False,1.0,1.0,True
,1,1.1.2,CSK,GT,6.0,90.0,4.5,,0.5632,0.51,0.49,0,Loss,0,Loss,True,Unknown,Unknown,-0.073,0.073,No,Slight Overvalued,49.0,56.3,-7.3,43.7,0.437,Unknown,False,False,1.0,1.0,True
,1,1.1.3,CSK,GT,10.0,133.0,6.67,,0.5632,0.54,0.46,0,Loss,0,Loss,True,Unknown,Unknown,-0.103,0.103,No,Strong Overvalued,46.0,56.3,-10.3,43.7,0.437,Unknown,False,False,1.0,1.0,True
,1,1.1.4,CSK,GT,11.0,132.0,6.6,,0.5632,0.55,0.45,0,Loss,0,Loss,True,Unknown,Unknown,-0.113,0.113,No,Strong Overvalued,45.0,56.3,-11.3,43.7,0.437,Unknown,False,False,1.0,1.0,True
,1,1.1.5,CSK,GT,12.0,131.0,6.55,,0.5632,0.54,0.46,0,Loss,0,Loss,True,Unknown,Unknown,-0.103,0.103,No,Strong Overvalued,46.0,56.3,-10.3,43.7,0.437,Unknown,False,False,1.0,1.0,True
,1,1.1.6,CSK,GT,13.0,130.0,6.5,,0.5632,0.53,0.47,0,Loss,0,Loss,True,Unknown,Unknown,-0.093,0.093,No,Slight Overvalued,47.0,56.3,-9.3,43.7,0.437,Unknown,False,False,1.0,1.0,True
,2,1.1.1,GT,CSK,9.0,154.0,7.71,9.03,0.7108,0.41,0.59,1,Win,1,Win,True,Unknown,GT,-0.121,0.121,No,Strong Overvalued,59.0,71.1,-12.1,28.90000000000001,0.289,Unknown,False,False,1.0,1.0,True
,2,1.1.2,GT,CSK,13.0,195.0,9.75,8.89,0.7108,0.23,0.77,1,Win,1,Win,True,Unknown,GT,0.059,0.059,Yes,Slight Value,77.0,71.1,5.9,28.90000000000001,0.289,Unknown,False,False,1.0,1.0,True
,2,1.1.3,GT,CSK,14.0,187.0,9.33,8.92,0.7108,0.27,0.73,1,Win,1,Win,True,Unknown,GT,0.019,0.019,No,Neutral,73.0,71.1,1.9,28.90000000000001,0.289,Unknown,False,False,1.0,1.0,True
,2,1.1.4,GT,CSK,14.0,168.0,8.4,9.0,0.7108,0.42,0.58,1,Win,1,Win,True,Unknown,GT,-0.131,0.131,No,Strong Overvalued,58.0,71.1,-13.1,28.90000000000001,0.289,Unknown,False,False,1.0,1.0,True
