Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
Shubman Gill,2022-2025,46,46,5,1832,129,44.68,1232,148.70,4,10,3,175,62
B Sai Sudharsan,2022-2025,26,26,3,1108,103,48.17,784,141.32,1,7,0,100,37
DA Miller,2022-2024,41,38,17,950,94,45.23,654,145.25,0,3,1,70,44
HH Pandya,2022-2023,31,30,8,833,87,37.86,624,133.49,0,6,0,75,27
WP Saha,2022-2024,37,37,2,824,81,23.54,661,124.65,0,5,3,105,18
R Tewatia,2022-2025,46,32,13,498,43,26.21,335,148.65,0,0,0,49,22
V Shankar,2022-2024,25,21,4,403,63,23.70,295,136.61,0,3,1,35,17
Rashid Khan,2022-2025,46,25,12,323,79,24.84,175,184.57,0,1,6,22,25
A Manohar,2022-2024,19,15,1,231,43,16.50,174,132.75,0,0,1,21,10
MS Wade,2022-2024,12,11,0,161,35,14.63,144,111.80,0,0,0,23,2
M Shahrukh Khan,2024-2025,8,8,1,133,58,19.00,76,175.00,0,1,1,9,10
JC Buttler,2025-2025,1,1,0,54,54,54.00,33,163.63,0,1,0,4,2
SE Rutherford,2025-2025,1,1,0,46,46,46.00,28,164.28,0,0,0,4,3
Azmatullah Omarzai,2024-2024,7,4,0,42,17,10.50,33,127.27,0,0,0,2,2
KS Williamson,2023-2024,3,2,0,27,26,13.50,27,100.00,0,0,0,4,0
MD Shanaka,2023-2023,3,3,1,26,17,13.00,26,100.00,0,0,1,2,1
Noor Ahmad,2023-2024,23,7,3,13,7,3.25,18,72.22,0,0,1,2,0
R Sai Kishore,2022-2025,11,2,1,13,13,13.00,6,216.66,0,0,0,0,2
AS Joseph,2022-2023,16,5,4,12,7,12.00,19,63.15,0,0,1,1,0
DG Nalkande,2022-2024,6,2,0,12,12,6.00,12,100.00,0,0,1,0,1
UT Yadav,2024-2024,7,2,1,12,10,12.00,15,80.00,0,0,0,0,1
SH Johnson,2024-2024,5,3,3,6,5,0,7,85.71,0,0,0,1,0
LH Ferguson,2022-2022,13,3,1,5,5,2.50,4,125.00,0,0,1,1,0
Mohammed Shami,2022-2023,33,2,0,5,5,2.50,6,83.33,0,0,1,1,0
PJ Sangwan,2022-2022,3,1,0,2,2,2.00,5,40.00,0,0,0,0,0
BR Sharath,2024-2024,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
MM Sharma,2023-2024,26,4,2,2,2,1.00,16,12.50,0,0,1,0,0
Arshad Khan,2025-2025,1,1,1,1,1,0,1,100.00,0,0,0,0,0
MJ Suthar,2024-2024,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0
Yash Dayal,2022-2023,14,1,0,0,0,0.00,1,0.00,0,0,1,0,0
VR Aaron,2022-2022,2,0,0,0,0,0,0,0,0,0,0,0,0
Kartik Tyagi,2024-2024,1,0,0,0,0,0,0,0,0,0,0,0,0
JB Little,2023-2024,11,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Siraj,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0,0
M Prasidh Krishna,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0,0
K Rabada,2025-2025,1,0,0,0,0,0,0,0,0,0,0,0,0
S Sandeep Warrier,2024-2024,5,0,0,0,0,0,0,0,0,0,0,0,0
J Yadav,2023-2023,1,0,0,0,0,0,0,0,0,0,0,0,0
