player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Ruturaj Gaikwad,batsman,66,65,,2380,1739,,,41.75,136.86
Devon Conway,batsman,23,22,,924,654,,,48.63,141.28
Ajinkya Rahane,batsman,185,171,,4642,3761,,,30.14,123.42
Shivam Dube,batsman,65,61,,1502,1024,,,30.04,146.67
Ambati Rayudu,batsman,204,187,,4348,3409,,,28.23,127.54
Moeen Ali,batsman,67,57,,1162,821,,,22.78,141.53
Ravindra Jadeja,batsman,240,184,,2959,2280,,,27.39,129.78
MS Dhoni (c)†,batsman,264,229,,5243,3812,,,39.12,137.53
"Tushar Deshpande,",batsman,36,4,,21,14,,,21.00,150.00
"Maheesh Theekshana,",batsman,27,2,,7,7,,,7.00,100.00
Matheesha Pathirana,batsman,20,-,,-,-,,,-,-
