batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
PBKS,19,19.6,2,0,0,0,0,Livingstone,Livingstone,89,42,7,4,Sharma,55,27,6,2,Madhwal,3.0,0,37,0,Archer,4.0,0,56,0
PBKS,19,19.5,2,0,0,0,0,Livingstone,Livingstone,87,41,7,4,Sharma,55,27,6,2,Madhwal,3.0,0,35,0,Archer,4.0,0,56,0
PBKS,19,19.4,1,0,0,0,0,Sharma,Livingstone,85,40,7,4,Sharma,55,27,6,2,Madhwal,2.0,0,33,0,Archer,4.0,0,56,0
PBKS,19,19.3,1,0,0,0,0,Livingstone,Livingstone,85,40,7,4,Sharma,54,26,6,2,Madhwal,2.0,0,32,0,Archer,4.0,0,56,0
PBKS,19,19.2,2,0,0,0,0,Livingstone,Livingstone,84,39,7,4,Sharma,54,26,6,2,Madhwal,2.0,0,31,0,Archer,4.0,0,56,0
PBKS,19,19.1,1,0,0,0,0,Sharma,Livingstone,82,38,7,4,Sharma,54,26,6,2,Madhwal,2.0,0,29,0,Archer,4.0,0,56,0
PBKS,18,18.6,2,0,0,0,0,Livingstone,Livingstone,82,38,7,4,Sharma,53,25,6,2,Archer,4.0,0,56,0,Madhwal,2.0,0,28,0
PBKS,18,18.6,5,0,0,0,1,Livingstone,Livingstone,80,37,7,4,Sharma,53,25,6,2,Archer,4.0,0,54,0,Madhwal,2.0,0,28,0
PBKS,18,18.5,1,0,0,0,0,Sharma,Livingstone,75,37,7,4,Sharma,53,25,6,2,Archer,4.0,0,49,0,Madhwal,2.0,0,28,0
PBKS,18,18.4,1,0,0,0,0,Livingstone,Livingstone,75,37,7,4,Sharma,52,24,6,2,Archer,3.0,0,48,0,Madhwal,2.0,0,28,0
PBKS,18,18.3,6,1,0,0,0,Livingstone,Livingstone,74,36,7,4,Sharma,52,24,6,2,Archer,3.0,0,47,0,Madhwal,2.0,0,28,0
PBKS,18,18.2,6,1,0,0,0,Livingstone,Livingstone,68,35,7,3,Sharma,52,24,6,2,Archer,3.0,0,41,0,Madhwal,2.0,0,28,0
PBKS,18,18.1,6,1,0,0,0,Livingstone,Livingstone,62,34,7,2,Sharma,52,24,6,2,Archer,3.0,0,35,0,Madhwal,2.0,0,28,0
PBKS,17,17.6,0,0,1,0,0,Sharma,Livingstone,56,33,7,1,Sharma,52,24,6,2,Madhwal,2.0,0,28,0,Arshad Khan,4.0,0,48,1
PBKS,17,17.5,2,0,0,0,0,Sharma,Livingstone,56,33,7,1,Sharma,52,23,6,2,Madhwal,2.0,0,28,0,Arshad Khan,4.0,0,48,1
PBKS,17,17.4,4,1,0,0,0,Sharma,Livingstone,56,33,7,1,Sharma,50,22,6,2,Madhwal,1.0,0,26,0,Arshad Khan,4.0,0,48,1
PBKS,17,17.3,1,0,0,0,0,Livingstone,Livingstone,56,33,7,1,Sharma,46,21,5,2,Madhwal,1.0,0,22,0,Arshad Khan,4.0,0,48,1
PBKS,17,17.2,4,1,0,0,0,Livingstone,Livingstone,55,32,7,1,Sharma,46,21,5,2,Madhwal,1.0,0,21,0,Arshad Khan,4.0,0,48,1
PBKS,17,17.1,1,0,0,0,0,Sharma,Livingstone,51,31,6,1,Sharma,46,21,5,2,Madhwal,1.0,0,17,0,Arshad Khan,4.0,0,48,1
PBKS,16,16.6,1,0,0,0,0,Sharma,Livingstone,51,31,6,1,Sharma,45,20,5,2,Arshad Khan,4.0,0,48,1,Archer,3.0,0,29,0
PBKS,16,16.5,2,0,0,0,0,Sharma,Livingstone,51,31,6,1,Sharma,44,19,5,2,Arshad Khan,3.0,0,47,1,Archer,3.0,0,29,0
PBKS,16,16.4,0,0,1,0,0,Sharma,Livingstone,51,31,6,1,Sharma,42,18,5,2,Arshad Khan,3.0,0,45,1,Archer,3.0,0,29,0
PBKS,16,16.3,4,1,0,0,0,Sharma,Livingstone,51,31,6,1,Sharma,42,17,5,2,Arshad Khan,3.0,0,45,1,Archer,3.0,0,29,0
PBKS,16,16.3,1,0,0,0,1,Sharma,Livingstone,51,31,6,1,Sharma,38,16,4,2,Arshad Khan,3.0,0,41,1,Archer,3.0,0,29,0
PBKS,16,16.2,6,1,0,0,0,Sharma,Livingstone,51,31,6,1,Sharma,37,16,4,2,Arshad Khan,3.0,0,40,1,Archer,3.0,0,29,0
PBKS,16,16.1,0,0,1,0,0,Sharma,Livingstone,51,31,6,1,Sharma,31,15,4,1,Arshad Khan,3.0,0,34,1,Archer,3.0,0,29,0
PBKS,15,15.6,0,0,1,0,0,Livingstone,Livingstone,51,31,6,1,Sharma,31,14,4,1,Archer,3.0,0,29,0,Arshad Khan,3.0,0,34,1
PBKS,15,15.5,1,0,0,0,0,Sharma,Livingstone,51,30,6,1,Sharma,31,14,4,1,Archer,3.0,0,29,0,Arshad Khan,3.0,0,34,1
