batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
GT,13,13.5,1,0,0,0,0,Saha,Saha,43,34,5,0,Hardik,39,15,3,3,Chahal,3.0,0,22,1,Ashwin,1.0,0,8,0
GT,13,13.4,1,0,0,0,0,Hardik,Saha,42,33,5,0,Hardik,39,15,3,3,Chahal,3.0,0,21,1,Ashwin,1.0,0,8,0
GT,13,13.3,1,0,0,0,0,Saha,Saha,42,33,5,0,Hardik,38,14,3,3,Chahal,3.0,0,20,1,Ashwin,1.0,0,8,0
GT,13,13.2,1,0,0,0,0,Hardik,Saha,41,32,5,0,Hardik,38,14,3,3,Chahal,3.0,0,19,1,Ashwin,1.0,0,8,0
GT,13,13.1,1,0,0,0,0,Saha,Saha,41,32,5,0,Hardik,37,13,3,3,Chahal,3.0,0,18,1,Ashwin,1.0,0,8,0
GT,12,12.6,1,0,0,0,0,Saha,Saha,40,31,5,0,Hardik,37,13,3,3,Ashwin,1.0,0,8,0,Chahal,3.0,0,17,1
GT,12,12.5,0,0,1,0,0,Saha,Saha,39,30,5,0,Hardik,37,13,3,3,Ashwin,0,0,7,0,Chahal,3.0,0,17,1
GT,12,12.4,1,0,0,0,0,Hardik,Saha,39,29,5,0,Hardik,37,13,3,3,Ashwin,0,0,7,0,Chahal,3.0,0,17,1
GT,12,12.3,4,1,0,0,0,Hardik,Saha,39,29,5,0,Hardik,36,12,3,3,Ashwin,0,0,6,0,Chahal,3.0,0,17,1
GT,12,12.2,1,0,0,0,0,Saha,Saha,39,29,5,0,Hardik,32,11,2,3,Ashwin,0,0,2,0,Chahal,3.0,0,17,1
GT,12,12.1,1,0,0,0,0,Hardik,Saha,38,28,5,0,Hardik,32,11,2,3,Ashwin,0,0,1,0,Chahal,3.0,0,17,1
GT,11,11.6,1,0,0,0,0,Hardik,Saha,38,28,5,0,Hardik,31,10,2,3,Chahal,3.0,0,17,1,Zampa,3.0,0,40,0
GT,11,11.5,4,1,0,0,0,Hardik,Saha,38,28,5,0,Hardik,30,9,2,3,Chahal,2.0,0,16,1,Zampa,3.0,0,40,0
GT,11,11.4,2,0,0,0,0,Hardik,Saha,38,28,5,0,Hardik,26,8,1,3,Chahal,2.0,0,12,1,Zampa,3.0,0,40,0
GT,11,11.3,1,0,0,0,0,Saha,Saha,38,28,5,0,Hardik,24,7,1,3,Chahal,2.0,0,10,1,Zampa,3.0,0,40,0
GT,11,11.2,0,0,1,0,0,Saha,Saha,37,27,5,0,Hardik,24,7,1,3,Chahal,2.0,0,9,1,Zampa,3.0,0,40,0
GT,11,11.1,2,0,0,0,0,Saha,Saha,37,26,5,0,Hardik,24,7,1,3,Chahal,2.0,0,9,1,Zampa,3.0,0,40,0
GT,10,10.6,1,0,0,0,0,Saha,Saha,35,25,5,0,Hardik,24,7,1,3,Zampa,3.0,0,40,0,Chahal,2.0,0,7,1
GT,10,10.5,1,0,0,0,0,Hardik,Saha,34,24,5,0,Hardik,24,7,1,3,Zampa,2.0,0,39,0,Chahal,2.0,0,7,1
GT,10,10.4,6,1,0,0,0,Hardik,Saha,34,24,5,0,Hardik,23,6,1,3,Zampa,2.0,0,38,0,Chahal,2.0,0,7,1
GT,10,10.3,6,1,0,0,0,Hardik,Saha,34,24,5,0,Hardik,17,5,1,2,Zampa,2.0,0,32,0,Chahal,2.0,0,7,1
GT,10,10.2,4,1,0,0,0,Hardik,Saha,34,24,5,0,Hardik,11,4,1,1,Zampa,2.0,0,26,0,Chahal,2.0,0,7,1
GT,10,10.1,6,1,0,0,0,Hardik,Saha,34,24,5,0,Hardik,7,3,0,1,Zampa,2.0,0,22,0,Chahal,2.0,0,7,1
GT,9,9.6,1,0,0,0,0,Hardik,Saha,34,24,5,0,Hardik,1,2,0,0,Chahal,2.0,0,7,1,Zampa,2.0,0,16,0
GT,9,9.5,0,0,1,0,0,Hardik,Saha,34,24,5,0,Hardik,0,1,0,0,Chahal,1.0,0,6,1,Zampa,2.0,0,16,0
