player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Wriddhiman Saha †,batsman,170,145,,2934,2300,,,24.24,127.56
Shubman Gill,batsman,103,100,,3216,2370,,,37.83,135.69
Hardik Pandya (c),batsman,137,128,,2525,1734,,,28.69,145.61
Vijay Shankar,batsman,72,60,,1115,859,,,25.34,129.80
David Miller,batsman,130,124,,2924,2100,,,36.09,139.23
Abhinav Manohar,batsman,19,15,,231,174,,,16.50,132.75
Rahul Tewatia,batsman,93,65,,1013,752,,,25.32,134.70
Rashid Khan,batsman,121,60,,545,337,,,14.72,161.72
Noor Ahmad,batsman,23,7,,13,18,,,3.25,72.22
Alzarri Joseph,batsman,22,7,,27,32,,,27.00,84.37
Mohammed Shami,batsman,110,25,,74,79,,,5.69,93.67
