player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Anmolpreet Singh,batsman,9,9,,139,115,,,15.44,120.86
Abhishek Sharma,batsman,63,61,,1377,887,,,25.50,155.24
Aiden Markram (c),batsman,44,42,,995,767,,,30.15,129.72
Rahul Tripathi,batsman,95,93,,2236,1605,,,27.26,139.31
Heinrich Klaasen †,batsman,35,32,,993,590,,,38.19,168.30
Sanvir Singh,batsman,6,5,,25,21,,,12.50,119.04
Abdul Samad,batsman,50,40,,577,395,,,19.23,146.07
Marco Jansen,batsman,21,13,,66,66,,,9.42,100.00
Bhuvneshwar Kumar,batsman,176,68,,306,326,,,8.74,93.86
Mayank Markande,batsman,37,11,,48,42,,,16.00,114.28
Fazalhaq Farooqi,batsman,7,2,,3,13,,,-,23.07
