player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
Mahipal Lomror,batsman,40,35,,527,373,,,18.17,141.28
Michael Bracewell,batsman,5,4,,58,47,,,29.00,123.40
Dinesh Karthik,batsman,257,234,,4842,3577,,,26.31,135.36
Anuj Rawat †,batsman,24,21,,318,267,,,19.87,119.10
"Harshal Patel,",batsman,106,42,,249,203,,,9.22,122.66
"Wayne Parnell,",batsman,33,14,,65,80,,,6.50,81.25
"Vijaykumar Vyshak,",batsman,11,4,,14,12,,,7.00,116.66
Mohammed Siraj,batsman,93,25,,109,119,,,10.90,91.59
