batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
LSG,19,19.1,6,0,2,0,1,Krunal,Pooran,64,37,4,4,Krunal,4,3,0,0,Avesh Khan,2.0,0,17,0,Sandeep,3.0,0,22,1
LSG,18,18.1,11,2,2,0,2,Pooran,Pooran,55,32,2,4,Krunal,1,2,0,0,Sandeep,2.0,0,13,1,Ashwin,4.0,0,35,1
LSG,17,17.1,4,0,1,1,0,Pooran,Pooran,52,30,2,4,Stoinis,3,3,0,0,Ashwin,3.0,0,32,0,Sandeep,2.0,0,12,1
LSG,16,16.1,7,1,1,1,0,Pooran,Pooran,47,27,1,4,,0,0,0,0,Sandeep,1.0,0,5,1,Chahal,3.0,0,25,1
LSG,15,15.1,11,1,1,0,0,Rahul,Rahul,66,42,5,2,Pooran,38,23,1,3,Chahal,2.0,0,15,1,Sandeep,1.0,0,5,0
LSG,14,14.1,5,0,1,0,0,Rahul,Rahul,63,38,5,2,Pooran,36,21,1,3,Sandeep,0,0,1,0,Ashwin,3.0,0,31,0
LSG,13,13.1,7,0,1,0,0,Rahul,Rahul,58,34,5,2,Pooran,35,19,1,3,Ashwin,2.0,0,26,0,Boult,4.0,1,35,2
LSG,12,12.1,20,3,0,0,0,Pooran,Rahul,55,32,5,2,Pooran,17,15,0,1,Boult,3.0,1,16,2,Ashwin,2.0,0,24,0
LSG,11,11.1,9,1,0,0,0,Pooran,Rahul,49,29,4,2,Pooran,14,12,0,1,Ashwin,1.0,0,16,0,Burger,3.0,0,30,1
LSG,10,10.1,17,3,0,0,0,Rahul,Rahul,34,25,2,1,Pooran,12,10,0,1,Burger,2.0,0,14,1,Chahal,2.0,0,14,1
LSG,9,9.1,10,1,1,0,0,Pooran,Rahul,33,23,2,1,Pooran,3,6,0,0,Chahal,1.0,0,5,1,Avesh Khan,2.0,0,15,0
LSG,8,8.1,5,0,1,0,0,Rahul,Rahul,30,20,2,1,Pooran,1,3,0,0,Avesh Khan,1.0,0,11,0,Chahal,1.0,0,4,1
LSG,7,7.1,4,0,3,1,1,Pooran,Rahul,28,18,2,1,Hooda,26,12,2,2,Chahal,0,0,2,0,Avesh Khan,1.0,0,10,0
LSG,6,6.1,10,1,1,0,0,Hooda,Rahul,24,15,2,1,Hooda,19,9,2,1,Avesh Khan,0,0,1,0,Ashwin,1.0,0,15,0
LSG,5,5.1,15,1,1,0,1,Hooda,Rahul,16,11,2,0,Hooda,16,6,2,1,Ashwin,0,0,5,0,Boult,3.0,1,15,2
LSG,4,4.1,10,2,2,0,0,Rahul,Rahul,6,7,1,0,Hooda,15,5,2,1,Boult,2.0,1,9,2,Burger,2.0,0,13,1
LSG,3,3.1,11,2,2,1,0,Rahul,Rahul,6,6,1,0,,0,0,0,0,Burger,1.0,0,2,1,Boult,2.0,1,5,2
LSG,2,2.1,1,0,4,1,0,Badoni,Padikkal,0,2,0,0,Rahul,6,6,1,0,Boult,1.0,0,4,1,Burger,1.0,0,2,0
LSG,1,1.1,6,1,4,0,1,Rahul,Padikkal,0,1,0,0,Rahul,0,1,0,0,Burger,0,0,0,0,Boult,1.0,0,4,1
LSG,0,0.1,4,1,4,1,0,Padikkal,de Kock,0,1,0,0,,0,0,0,0,Boult,0,0,0,0,,0,0,0,0
