player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Prithvi Shaw,batsman,79,79,,1892,1283,,,23.94,147.46
David Warner,batsman,184,184,,6565,4697,,,40.52,139.77
Abishek Porel,batsman,18,16,,360,236,,,25.71,152.54
Tristan Stubbs,batsman,18,17,,405,233,,,36.81,173.81
Rishabh Pant (c)†,batsman,111,110,,3284,2205,,,35.31,148.93
Axar Patel,batsman,150,113,,1653,1263,,,21.46,130.87
Lalit Yadav,batsman,27,21,,305,290,,,19.06,105.17
Kumar Kushagra,batsman,4,3,,3,7,,,1.00,42.85
Jhye Richardson,batsman,4,3,,17,26,,,5.66,65.38
"Anrich Nortje,",batsman,46,15,,49,49,,,8.16,100.00
Ishant Sharma,batsman,110,28,,57,69,,,9.50,82.60
