player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Virat Kohli,batsman,252,244,,8004,6065,,,38.66,131.97
Faf du Plessis (c),batsman,145,138,,4571,3352,,,35.99,136.36
Will Jacks,batsman,8,8,,230,131,,,32.85,175.57
Rajat Patidar,batsman,27,24,,799,503,,,34.73,158.84
Glenn Maxwell,batsman,134,129,,2771,1768,,,24.74,156.73
Dinesh Karthik †,batsman,257,234,,4842,3577,,,26.31,135.36
Mahipal Lomror,batsman,40,35,,527,373,,,18.17,141.28
Saurav Chauhan,batsman,3,3,,18,15,,,6.00,120.00
Vijaykumar Vyshak,batsman,11,4,,14,12,,,7.00,116.66
Akash Deep,batsman,8,3,,19,12,,,9.50,158.33
"Reece Topley,",batsman,5,1,,3,6,,,-,50.00
Mohammed Siraj,batsman,93,25,,109,119,,,10.90,91.59
