over,innings,score,projected_score,required,CRR,RRR,fav_team,win_probability,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
20,LSG,213/4,N/A,N/A,10.65,N/A,LSG,100.0,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
1,CSK,4/1,168,N/A,4.00,N/A,LSG,53.35,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
2,CSK,20/1,178,N/A,10.00,N/A,CSK,57.79,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
3,CSK,25/1,174,N/A,8.33,N/A,CSK,53.37,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
4,CSK,37/1,186,N/A,9.25,N/A,CSK,66.2,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
5,CSK,48/1,193,N/A,9.60,N/A,CSK,72.79,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
6,CSK,49/2,179,N/A,8.17,N/A,CSK,58.88,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
7,CSK,56/2,175,N/A,8.00,N/A,CSK,54.48,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
8,CSK,66/2,177,N/A,8.25,N/A,CSK,56.7,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
9,CSK,74/2,180,N/A,8.22,N/A,CSK,59.96,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
10,CSK,85/2,192,N/A,8.50,N/A,CSK,71.9,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
11,CSK,93/2,193,N/A,8.45,N/A,CSK,72.79,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
12,CSK,102/3,192,N/A,8.50,N/A,CSK,71.9,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
13,CSK,111/3,191,N/A,8.54,N/A,CSK,71.0,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
