over_details,live_forecasts,win_probabilities,venue,matches_played,total_runs,total_wickets,balls_bowled,average_runs_per_wicket,average_runs_per_over
Over 19 • CSK 145/5,CSK won by 5 wickets (with 10 balls remaining),CSK 100%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 1 • RR 3/0,Live Forecast: RR 170,CSK 54.32%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 2 • RR 7/0,Live Forecast: RR 165,CSK 59.73%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 3 • RR 14/0,Live Forecast: RR 164,CSK 60.79%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 4 • RR 27/0,Live Forecast: RR 175,RR 51.22%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 5 • RR 36/0,Live Forecast: RR 183,RR 60%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 6 • RR 42/0,Live Forecast: RR 183,RR 60%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 7 • RR 46/1,Yashasvi Jaiswal c Gaikwad b Simarjeet Singh 24 (21b 3x4 1x6 29m) SR: 114.28;W;Live Forecast: RR 171,CSK 53.21%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 8 • RR 49/1,Live Forecast: RR 155,CSK 69.72%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 9 • RR 56/2,Jos Buttler c Deshpande b Simarjeet Singh 21 (25b 2x4 0x6 38m) SR: 84;W;Live Forecast: RR 155,CSK 69.72%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 10 • RR 61/2,Live Forecast: RR 152,CSK 72.41%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 11 • RR 68/2,Live Forecast: RR 155,CSK 69.72%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 12 • RR 74/2,Live Forecast: RR 155,CSK 69.72%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 13 • RR 79/2,Live Forecast: RR 149,CSK 74.94%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 14 • RR 89/2,Live Forecast: RR 151,CSK 73.27%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 15 • RR 94/3,Sanju Samson c Gaikwad b Simarjeet Singh 15 (19b 0x4 0x6 34m) SR: 78.94;W;Live Forecast: RR 146,CSK 77.3%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 16 • RR 103/3,Live Forecast: RR 146,CSK 77.3%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 17 • RR 113/3,Live Forecast: RR 145,CSK 78.05%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 18 • RR 124/3,Live Forecast: RR 145,CSK 78.05%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 19 • RR 131/3,Live Forecast: RR 142,CSK 80.19%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 20 • RR 141/5,Dhruv Jurel c Thakur b Deshpande 28 (18b 1x4 2x6 24m) SR: 155.55;W;Shubham Dubey c Dube b Deshpande 0 (1b 0x4 0x6 1m) SR: 0;W;Live Forecast: RR 141,CSK 80.87%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 1 • CSK 4/0,CSK needed 138 runs from 114 balls,CSK 79.92%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 2 • CSK 16/0,CSK needed 126 runs from 108 balls,CSK 84.91%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 3 • CSK 28/0,CSK needed 114 runs from 102 balls,CSK 89.16%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 4 • CSK 34/1,Rachin Ravindra c & b Ashwin 27 (18b 1x4 2x6 17m) SR: 150;W;CSK needed 108 runs from 96 balls,CSK 87.26%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 5 • CSK 45/1,CSK needed 97 runs from 90 balls,CSK 91.15%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 6 • CSK 56/1,CSK needed 86 runs from 84 balls,CSK 92.87%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 7 • CSK 66/1,CSK needed 76 runs from 78 balls,CSK 96.81%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 8 • CSK 67/2,Daryl Mitchell lbw b Chahal 22 (13b 4x4 0x6 18m) SR: 169.23;W;CSK needed 75 runs from 72 balls,CSK 92.96%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 9 • CSK 74/2,CSK needed 68 runs from 66 balls,CSK 93.42%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 10 • CSK 77/2,CSK needed 65 runs from 60 balls,CSK 92.24%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 11 • CSK 84/2,CSK needed 58 runs from 54 balls,CSK 94.05%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 12 • CSK 87/3,Moeen Ali c Avesh Khan b Burger 10 (13b 0x4 0x6 17m) SR: 76.92;W;CSK needed 55 runs from 48 balls,CSK 90.99%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 13 • CSK 92/3,CSK needed 50 runs from 42 balls,CSK 91.13%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 14 • CSK 107/4,Shivam Dube c Parag b Ashwin 18 (11b 2x4 1x6 9m) SR: 163.63;W;CSK needed 35 runs from 36 balls,CSK 95.81%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 15 • CSK 116/4,CSK needed 26 runs from 30 balls,CSK 97.44%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 16 • CSK 121/5,Ravindra Jadeja obstructing the field 5 (6b 0x4 0x6 9m) SR: 83.33;W;CSK needed 21 runs from 24 balls,CSK 97.06%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 17 • CSK 129/5,CSK needed 13 runs from 18 balls,CSK 98.25%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
Over 18 • CSK 137/5,CSK needed 5 runs from 12 balls,CSK 99.16%,"MA Chidambaram Stadium, Chepauk, Chennai",113,34470,1382,26410,24.94,7.83
