player_name,player_role,matches,innings,not_outs,runs,balls,fours,sixes,average,strike_rate
Atharva Taide,batsman,9,9,,247,168,,,27.44,147.02
Prabhsimran Singh,batsman,34,34,,756,517,,,22.23,146.22
Rilee Rossouw,batsman,22,22,,473,308,,,23.65,153.57
Shashank Singh,batsman,24,19,,423,262,,,35.25,161.45
Jitesh Sharma (c)†,batsman,40,36,,730,483,,,22.81,151.13
Ashutosh Sharma,batsman,11,9,,189,113,,,27.00,167.25
Shivam Singh,batsman,1,1,,2,3,,,-,66.66
"Rishi Dhawan,",batsman,39,24,,210,187,,,19.09,112.29
"Harpreet Brar,",batsman,41,24,,233,190,,,21.18,122.63
"Harshal Patel,",batsman,106,42,,249,203,,,9.22,122.66
Rahul Chahar,batsman,78,24,,129,124,,,8.06,104.03
