batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
CSK,19,19.2,4,1,0,0,0,du Plessis,du Plessis,59,44,6,0,Dhoni,0,2,0,0,Boult,3.0,0,23,1,Bumrah,4.0,0,43,1
CSK,19,19.1,4,1,0,0,0,du Plessis,du Plessis,55,43,5,0,Dhoni,0,2,0,0,Boult,3.0,0,19,1,Bumrah,4.0,0,43,1
CSK,18,18.6,0,0,1,0,0,Dhoni,du Plessis,51,42,4,0,Dhoni,0,2,0,0,Bumrah,4.0,0,43,1,Krunal,4.0,0,37,1
CSK,18,18.5,0,0,1,0,0,Dhoni,du Plessis,51,42,4,0,Dhoni,0,1,0,0,Bumrah,4.0,0,43,1,Krunal,4.0,0,37,1
CSK,18,18.4,1,0,0,0,0,du Plessis,du Plessis,51,42,4,0,,0,0,0,0,Bumrah,3.0,0,43,1,Krunal,4.0,0,37,1
CSK,18,18.3,4,1,0,0,0,du Plessis,du Plessis,50,41,4,0,,0,0,0,0,Bumrah,3.0,0,42,1,Krunal,4.0,0,37,1
CSK,18,18.2,0,0,0,1,0,Sam Curran,du Plessis,46,40,3,0,,0,0,0,0,Bumrah,3.0,0,38,1,Krunal,4.0,0,37,1
CSK,18,18.1,6,1,0,0,0,Sam Curran,du Plessis,46,40,3,0,Sam Curran,18,5,1,2,Bumrah,3.0,0,38,0,Krunal,4.0,0,37,1
CSK,17,17.6,1,0,0,0,0,Sam Curran,du Plessis,46,40,3,0,Sam Curran,12,4,1,1,Krunal,4.0,0,37,1,Pattinson,4.0,0,27,1
CSK,17,17.5,4,1,0,0,0,Sam Curran,du Plessis,46,40,3,0,Sam Curran,11,3,1,1,Krunal,3.0,0,36,1,Pattinson,4.0,0,27,1
CSK,17,17.4,6,1,0,0,0,Sam Curran,du Plessis,46,40,3,0,Sam Curran,7,2,0,1,Krunal,3.0,0,32,1,Pattinson,4.0,0,27,1
CSK,17,17.3,1,0,0,0,0,du Plessis,du Plessis,46,40,3,0,Sam Curran,1,1,0,0,Krunal,3.0,0,26,1,Pattinson,4.0,0,27,1
CSK,17,17.2,1,0,0,0,0,Sam Curran,du Plessis,45,39,3,0,Sam Curran,1,1,0,0,Krunal,3.0,0,25,1,Pattinson,4.0,0,27,1
CSK,17,17.1,0,0,0,1,0,Jadeja,du Plessis,45,39,3,0,,0,0,0,0,Krunal,3.0,0,24,1,Pattinson,4.0,0,27,1
CSK,16,16.6,1,0,0,0,0,Jadeja,du Plessis,45,39,3,0,Jadeja,10,4,2,0,Pattinson,4.0,0,27,1,Chahar,4.0,0,36,1
CSK,16,16.5,4,1,0,0,0,Jadeja,du Plessis,45,39,3,0,Jadeja,9,3,2,0,Pattinson,3.0,0,26,1,Chahar,4.0,0,36,1
CSK,16,16.4,1,0,0,0,0,du Plessis,du Plessis,45,39,3,0,Jadeja,5,2,1,0,Pattinson,3.0,0,22,1,Chahar,4.0,0,36,1
CSK,16,16.3,2,0,0,0,0,du Plessis,du Plessis,44,38,3,0,Jadeja,5,2,1,0,Pattinson,3.0,0,21,1,Chahar,4.0,0,36,1
CSK,16,16.2,1,0,0,0,0,Jadeja,du Plessis,42,37,3,0,Jadeja,5,2,1,0,Pattinson,3.0,0,19,1,Chahar,4.0,0,36,1
CSK,16,16.1,4,1,0,0,0,Jadeja,du Plessis,42,37,3,0,Jadeja,4,1,1,0,Pattinson,3.0,0,18,1,Chahar,4.0,0,36,1
CSK,15,15.6,0,0,0,1,0,Rayudu,du Plessis,42,37,3,0,,0,0,0,0,Chahar,4.0,0,36,1,Bumrah,3.0,0,32,0
CSK,15,15.5,1,0,0,0,0,du Plessis,du Plessis,42,37,3,0,Rayudu,73,47,5,3,Chahar,3.0,0,36,0,Bumrah,3.0,0,32,0
CSK,15,15.4,1,0,0,0,0,Rayudu,du Plessis,41,36,3,0,Rayudu,73,47,5,3,Chahar,3.0,0,35,0,Bumrah,3.0,0,32,0
CSK,15,15.3,1,0,0,0,0,du Plessis,du Plessis,41,36,3,0,Rayudu,72,46,5,3,Chahar,3.0,0,34,0,Bumrah,3.0,0,32,0
CSK,15,15.2,1,0,0,0,0,Rayudu,du Plessis,40,35,3,0,Rayudu,72,46,5,3,Chahar,3.0,0,33,0,Bumrah,3.0,0,32,0
CSK,15,15.1,1,0,0,0,0,du Plessis,du Plessis,40,35,3,0,Rayudu,71,45,5,3,Chahar,3.0,0,32,0,Bumrah,3.0,0,32,0
CSK,14,14.6,2,0,0,0,0,Rayudu,du Plessis,39,34,3,0,Rayudu,71,45,5,3,Bumrah,3.0,0,32,0,Pattinson,3.0,0,14,1
CSK,14,14.6,1,0,0,0,1,Rayudu,du Plessis,39,34,3,0,Rayudu,69,44,5,3,Bumrah,3.0,0,30,0,Pattinson,3.0,0,14,1
CSK,14,14.5,2,0,0,0,0,Rayudu,du Plessis,39,34,3,0,Rayudu,68,44,5,3,Bumrah,3.0,0,29,0,Pattinson,3.0,0,14,1
CSK,14,14.4,1,0,0,0,0,du Plessis,du Plessis,39,34,3,0,Rayudu,66,43,5,3,Bumrah,2.0,0,27,0,Pattinson,3.0,0,14,1
CSK,14,14.3,4,1,0,0,0,du Plessis,du Plessis,38,33,3,0,Rayudu,66,43,5,3,Bumrah,2.0,0,26,0,Pattinson,3.0,0,14,1
CSK,14,14.2,1,0,0,0,0,Rayudu,du Plessis,34,32,2,0,Rayudu,66,43,5,3,Bumrah,2.0,0,22,0,Pattinson,3.0,0,14,1
CSK,14,14.1,0,0,1,0,0,Rayudu,du Plessis,34,32,2,0,Rayudu,65,42,5,3,Bumrah,2.0,0,21,0,Pattinson,3.0,0,14,1
CSK,13,13.6,1,0,0,0,0,Rayudu,du Plessis,34,32,2,0,Rayudu,65,41,5,3,Pattinson,3.0,0,14,1,Chahar,3.0,0,31,0
CSK,13,13.5,1,0,0,0,0,du Plessis,du Plessis,34,32,2,0,Rayudu,64,40,5,3,Pattinson,2.0,0,13,1,Chahar,3.0,0,31,0
CSK,13,13.4,1,0,0,0,0,Rayudu,du Plessis,33,31,2,0,Rayudu,64,40,5,3,Pattinson,2.0,0,12,1,Chahar,3.0,0,31,0
CSK,13,13.3,2,0,0,0,0,Rayudu,du Plessis,33,31,2,0,Rayudu,63,39,5,3,Pattinson,2.0,0,11,1,Chahar,3.0,0,31,0
CSK,13,13.2,0,0,1,0,0,Rayudu,du Plessis,33,31,2,0,Rayudu,61,38,5,3,Pattinson,2.0,0,9,1,Chahar,3.0,0,31,0
CSK,13,13.1,1,0,0,0,0,du Plessis,du Plessis,33,31,2,0,Rayudu,61,37,5,3,Pattinson,2.0,0,9,1,Chahar,3.0,0,31,0
CSK,12,12.6,1,0,0,0,0,du Plessis,du Plessis,32,30,2,0,Rayudu,61,37,5,3,Chahar,3.0,0,31,0,Bumrah,2.0,0,21,0
CSK,12,12.5,1,0,0,0,0,Rayudu,du Plessis,31,29,2,0,Rayudu,61,37,5,3,Chahar,2.0,0,30,0,Bumrah,2.0,0,21,0
CSK,12,12.4,1,0,0,0,0,du Plessis,du Plessis,31,29,2,0,Rayudu,60,36,5,3,Chahar,2.0,0,29,0,Bumrah,2.0,0,21,0
CSK,12,12.3,1,0,0,0,0,Rayudu,du Plessis,30,28,2,0,Rayudu,60,36,5,3,Chahar,2.0,0,28,0,Bumrah,2.0,0,21,0
CSK,12,12.2,6,1,0,0,0,Rayudu,du Plessis,30,28,2,0,Rayudu,59,35,5,3,Chahar,2.0,0,27,0,Bumrah,2.0,0,21,0
CSK,12,12.1,1,0,0,0,0,du Plessis,du Plessis,30,28,2,0,Rayudu,53,34,5,2,Chahar,2.0,0,21,0,Bumrah,2.0,0,21,0
CSK,11,11.6,0,0,1,0,0,Rayudu,du Plessis,29,27,2,0,Rayudu,53,34,5,2,Bumrah,2.0,0,21,0,Krunal,3.0,0,24,0
CSK,11,11.5,4,1,0,0,0,Rayudu,du Plessis,29,27,2,0,Rayudu,53,33,5,2,Bumrah,2.0,0,21,0,Krunal,3.0,0,24,0
CSK,11,11.4,0,0,1,0,0,Rayudu,du Plessis,29,27,2,0,Rayudu,49,32,4,2,Bumrah,1.0,0,17,0,Krunal,3.0,0,24,0
CSK,11,11.3,1,0,0,0,0,du Plessis,du Plessis,29,27,2,0,Rayudu,49,31,4,2,Bumrah,1.0,0,17,0,Krunal,3.0,0,24,0
CSK,11,11.2,1,0,0,0,0,Rayudu,du Plessis,28,26,2,0,Rayudu,49,31,4,2,Bumrah,1.0,0,16,0,Krunal,3.0,0,24,0
CSK,11,11.1,1,0,0,0,0,du Plessis,du Plessis,28,26,2,0,Rayudu,48,30,4,2,Bumrah,1.0,0,15,0,Krunal,3.0,0,24,0
CSK,10,10.6,1,0,0,0,0,du Plessis,du Plessis,27,25,2,0,Rayudu,48,30,4,2,Krunal,3.0,0,24,0,Chahar,2.0,0,20,0
CSK,10,10.5,1,0,0,0,0,Rayudu,du Plessis,26,24,2,0,Rayudu,48,30,4,2,Krunal,2.0,0,23,0,Chahar,2.0,0,20,0
CSK,10,10.4,1,0,0,0,0,du Plessis,du Plessis,26,24,2,0,Rayudu,47,29,4,2,Krunal,2.0,0,22,0,Chahar,2.0,0,20,0
CSK,10,10.3,1,0,0,0,0,Rayudu,du Plessis,25,23,2,0,Rayudu,47,29,4,2,Krunal,2.0,0,21,0,Chahar,2.0,0,20,0
CSK,10,10.2,6,1,0,0,0,Rayudu,du Plessis,25,23,2,0,Rayudu,46,28,4,2,Krunal,2.0,0,20,0,Chahar,2.0,0,20,0
CSK,10,10.1,1,0,0,0,0,du Plessis,du Plessis,25,23,2,0,Rayudu,40,27,4,1,Krunal,2.0,0,14,0,Chahar,2.0,0,20,0
CSK,9,9.6,1,0,0,0,0,du Plessis,du Plessis,24,22,2,0,Rayudu,40,27,4,1,Chahar,2.0,0,20,0,Krunal,2.0,0,13,0
CSK,9,9.5,1,0,0,0,0,Rayudu,du Plessis,23,21,2,0,Rayudu,40,27,4,1,Chahar,1.0,0,19,0,Krunal,2.0,0,13,0
CSK,9,9.4,4,1,0,0,0,Rayudu,du Plessis,23,21,2,0,Rayudu,39,26,4,1,Chahar,1.0,0,18,0,Krunal,2.0,0,13,0
CSK,9,9.3,4,1,0,0,0,Rayudu,du Plessis,23,21,2,0,Rayudu,35,25,3,1,Chahar,1.0,0,14,0,Krunal,2.0,0,13,0
CSK,9,9.2,1,0,0,0,0,du Plessis,du Plessis,23,21,2,0,Rayudu,31,24,2,1,Chahar,1.0,0,10,0,Krunal,2.0,0,13,0
CSK,9,9.1,1,0,0,0,0,Rayudu,du Plessis,22,20,2,0,Rayudu,31,24,2,1,Chahar,1.0,0,9,0,Krunal,2.0,0,13,0
CSK,8,8.6,1,0,0,0,0,Rayudu,du Plessis,22,20,2,0,Rayudu,30,23,2,1,Krunal,2.0,0,13,0,Chahar,1.0,0,8,0
CSK,8,8.5,1,0,0,0,0,du Plessis,du Plessis,22,20,2,0,Rayudu,29,22,2,1,Krunal,1.0,0,12,0,Chahar,1.0,0,8,0
CSK,8,8.4,1,0,0,0,0,Rayudu,du Plessis,21,19,2,0,Rayudu,29,22,2,1,Krunal,1.0,0,11,0,Chahar,1.0,0,8,0
CSK,8,8.3,1,0,0,0,0,du Plessis,du Plessis,21,19,2,0,Rayudu,28,21,2,1,Krunal,1.0,0,10,0,Chahar,1.0,0,8,0
CSK,8,8.3,1,0,0,0,1,du Plessis,du Plessis,20,18,2,0,Rayudu,28,21,2,1,Krunal,1.0,0,9,0,Chahar,1.0,0,8,0
CSK,8,8.2,1,0,0,0,0,Rayudu,du Plessis,19,18,2,0,Rayudu,28,21,2,1,Krunal,1.0,0,8,0,Chahar,1.0,0,8,0
CSK,8,8.1,1,0,0,0,0,du Plessis,du Plessis,19,18,2,0,Rayudu,27,20,2,1,Krunal,1.0,0,7,0,Chahar,1.0,0,8,0
CSK,7,7.6,1,0,0,0,0,du Plessis,du Plessis,18,17,2,0,Rayudu,27,20,2,1,Chahar,1.0,0,8,0,Krunal,1.0,0,6,0
