batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
CSK,19,19.1,8,2,0,0,0,du Plessis,du Plessis,55,43,5,0,Dhoni,0,2,0,0,Boult,3.0,0,19,1,Bumrah,4.0,0,43,1
CSK,18,18.1,11,2,2,1,0,Dhoni,du Plessis,46,40,3,0,Sam Curran,18,5,1,2,Bumrah,3.0,0,38,0,Krunal,4.0,0,37,1
CSK,17,17.1,13,2,0,1,0,Sam Curran,du Plessis,45,39,3,0,,0,0,0,0,Krunal,3.0,0,24,1,Pattinson,4.0,0,27,1
CSK,16,16.1,13,2,0,0,0,Jadeja,du Plessis,42,37,3,0,Jadeja,4,1,1,0,Pattinson,3.0,0,18,1,Chahar,4.0,0,36,1
CSK,15,15.1,5,0,0,1,0,Rayudu,du Plessis,40,35,3,0,Rayudu,71,45,5,3,Chahar,3.0,0,32,0,Bumrah,3.0,0,32,0
CSK,14,14.1,11,1,1,0,1,Rayudu,du Plessis,34,32,2,0,Rayudu,65,42,5,3,Bumrah,2.0,0,21,0,Pattinson,3.0,0,14,1
CSK,13,13.1,6,0,1,0,0,Rayudu,du Plessis,33,31,2,0,Rayudu,61,37,5,3,Pattinson,2.0,0,9,1,Chahar,3.0,0,31,0
CSK,12,12.1,11,1,0,0,0,du Plessis,du Plessis,30,28,2,0,Rayudu,53,34,5,2,Chahar,2.0,0,21,0,Bumrah,2.0,0,21,0
CSK,11,11.1,7,1,2,0,0,Rayudu,du Plessis,28,26,2,0,Rayudu,48,30,4,2,Bumrah,1.0,0,15,0,Krunal,3.0,0,24,0
CSK,10,10.1,11,1,0,0,0,du Plessis,du Plessis,25,23,2,0,Rayudu,40,27,4,1,Krunal,2.0,0,14,0,Chahar,2.0,0,20,0
CSK,9,9.1,12,2,0,0,0,du Plessis,du Plessis,22,20,2,0,Rayudu,31,24,2,1,Chahar,1.0,0,9,0,Krunal,2.0,0,13,0
CSK,8,8.1,7,0,0,0,1,Rayudu,du Plessis,19,18,2,0,Rayudu,27,20,2,1,Krunal,1.0,0,7,0,Chahar,1.0,0,8,0
CSK,7,7.1,8,1,1,0,0,du Plessis,du Plessis,12,13,1,0,Rayudu,26,19,2,1,Chahar,0,0,1,0,Krunal,1.0,0,6,0
CSK,6,6.1,6,0,1,0,0,Rayudu,du Plessis,11,12,1,0,Rayudu,21,14,2,1,Krunal,0,0,1,0,Bumrah,1.0,0,14,0
CSK,5,5.1,14,1,4,0,1,Rayudu,du Plessis,7,7,1,0,Rayudu,10,12,2,0,Bumrah,0,0,0,0,Boult,3.0,0,15,1
CSK,4,4.1,4,1,5,0,0,Rayudu,du Plessis,7,6,1,0,Rayudu,10,7,2,0,Boult,2.0,0,15,1,Pattinson,2.0,0,8,1
CSK,3,3.1,7,1,3,0,0,du Plessis,du Plessis,5,4,1,0,Rayudu,5,3,1,0,Pattinson,1.0,0,5,1,Boult,2.0,0,11,1
CSK,2,2.1,6,1,3,0,0,du Plessis,du Plessis,0,1,0,0,,0,0,0,0,Boult,1.0,0,5,1,Pattinson,1.0,0,1,1
CSK,1,1.1,1,0,5,1,1,Vijay,Vijay,1,2,0,0,,0,0,0,0,Pattinson,0,0,0,0,Boult,1.0,0,5,1
CSK,0,0.1,5,1,3,1,0,Watson,Vijay,1,1,0,0,,0,0,0,0,Boult,0,0,1,0,,0,0,0,0
