batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
MI,19,19.6,2,0,0,0,0,Bumrah,Chahar,2,4,0,0,Bumrah,5,3,0,0,Chahar,4.0,0,32,2,Ngidi,4.0,0,38,3
MI,19,19.5,2,0,0,0,0,Bumrah,Chahar,2,4,0,0,Bumrah,3,2,0,0,Chahar,3.0,0,30,2,Ngidi,4.0,0,38,3
MI,19,19.4,1,0,0,0,0,Chahar,Chahar,2,4,0,0,Bumrah,1,1,0,0,Chahar,3.0,0,28,2,Ngidi,4.0,0,38,3
MI,19,19.3,0,0,1,0,0,Chahar,Chahar,1,3,0,0,Bumrah,1,1,0,0,Chahar,3.0,0,27,2,Ngidi,4.0,0,38,3
MI,19,19.2,1,0,0,0,0,Bumrah,Chahar,1,2,0,0,Bumrah,1,1,0,0,Chahar,3.0,0,27,2,Ngidi,4.0,0,38,3
MI,19,19.1,0,0,0,1,0,Boult,Chahar,1,2,0,0,,0,0,0,0,Chahar,3.0,0,26,2,Ngidi,4.0,0,38,3
MI,18,18.6,0,0,1,0,0,Chahar,Chahar,1,2,0,0,,0,0,0,0,Ngidi,4.0,0,38,3,Sam Curran,4.0,0,28,1
MI,18,18.5,0,0,0,1,0,Pattinson,Chahar,1,1,0,0,,0,0,0,0,Ngidi,3.0,0,38,3,Sam Curran,4.0,0,28,1
MI,18,18.4,0,0,1,0,0,Pattinson,Pattinson,11,7,2,0,Chahar,1,1,0,0,Ngidi,3.0,0,38,2,Sam Curran,4.0,0,28,1
MI,18,18.3,4,1,0,0,0,Pattinson,Pattinson,11,6,2,0,Chahar,1,1,0,0,Ngidi,3.0,0,38,2,Sam Curran,4.0,0,28,1
MI,18,18.2,1,0,0,0,0,Chahar,Pattinson,7,5,1,0,Chahar,1,1,0,0,Ngidi,3.0,0,34,2,Sam Curran,4.0,0,28,1
MI,18,18.1,0,0,0,1,0,Pollard,Pattinson,7,5,1,0,,0,0,0,0,Ngidi,3.0,0,33,2,Sam Curran,4.0,0,28,1
MI,17,17.6,1,0,0,0,1,Pollard,Pollard,19,13,1,1,Pattinson,7,5,1,0,Sam Curran,4.0,0,28,1,Ngidi,3.0,0,33,1
MI,17,17.5,0,0,1,0,0,Pollard,Pollard,18,12,1,1,Pattinson,7,5,1,0,Sam Curran,3.0,0,28,1,Ngidi,3.0,0,33,1
MI,17,17.4,4,1,0,0,0,Pollard,Pollard,18,11,1,1,Pattinson,7,5,1,0,Sam Curran,3.0,0,28,1,Ngidi,3.0,0,33,1
MI,17,17.3,1,0,0,0,0,Pattinson,Pollard,14,10,0,1,Pattinson,7,5,1,0,Sam Curran,3.0,0,24,1,Ngidi,3.0,0,33,1
MI,17,17.2,4,1,0,0,0,Pattinson,Pollard,14,10,0,1,Pattinson,6,4,1,0,Sam Curran,3.0,0,23,1,Ngidi,3.0,0,33,1
MI,17,17.1,1,0,0,0,0,Pollard,Pollard,14,10,0,1,Pattinson,2,3,0,0,Sam Curran,3.0,0,19,1,Ngidi,3.0,0,33,1
MI,16,16.6,0,0,1,0,0,Pattinson,Pollard,13,9,0,1,Pattinson,2,3,0,0,Ngidi,3.0,0,33,1,Chawla,4.0,0,21,1
MI,16,16.5,1,0,0,0,0,Pollard,Pollard,13,9,0,1,Pattinson,2,2,0,0,Ngidi,2.0,0,33,1,Chawla,4.0,0,21,1
MI,16,16.4,1,0,0,0,0,Pattinson,Pollard,12,8,0,1,Pattinson,2,2,0,0,Ngidi,2.0,0,32,1,Chawla,4.0,0,21,1
MI,16,16.3,1,0,0,0,0,Pollard,Pollard,12,8,0,1,Pattinson,1,1,0,0,Ngidi,2.0,0,31,1,Chawla,4.0,0,21,1
MI,16,16.2,1,0,0,0,0,Pattinson,Pollard,11,7,0,1,Pattinson,1,1,0,0,Ngidi,2.0,0,30,1,Chawla,4.0,0,21,1
MI,16,16.1,0,0,0,1,0,Krunal,Pollard,11,7,0,1,,0,0,0,0,Ngidi,2.0,0,29,1,Chawla,4.0,0,21,1
MI,15,15.6,2,0,0,0,0,Pollard,Pollard,11,7,0,1,Krunal,3,2,0,0,Chawla,4.0,0,21,1,Jadeja,4.0,0,42,2
MI,15,15.5,0,0,1,0,0,Pollard,Pollard,9,6,0,1,Krunal,3,2,0,0,Chawla,3.0,0,19,1,Jadeja,4.0,0,42,2
MI,15,15.4,1,0,0,0,0,Krunal,Pollard,9,5,0,1,Krunal,3,2,0,0,Chawla,3.0,0,19,1,Jadeja,4.0,0,42,2
MI,15,15.3,1,0,0,0,0,Pollard,Pollard,9,5,0,1,Krunal,2,1,0,0,Chawla,3.0,0,18,1,Jadeja,4.0,0,42,2
MI,15,15.2,6,1,0,0,0,Pollard,Pollard,8,4,0,1,Krunal,2,1,0,0,Chawla,3.0,0,17,1,Jadeja,4.0,0,42,2
