batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,striker_batsman,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken
MI,19,19.1,6,0,1,1,0,Bumrah,Chahar,1,2,0,0,,0,0,0,0,Chahar,3.0,0,26,2,Ngidi,4.0,0,38,3
MI,18,18.1,5,1,2,2,0,Chahar,Pattinson,7,5,1,0,,0,0,0,0,Ngidi,3.0,0,33,2,Sam Curran,4.0,0,28,1
MI,17,17.1,11,2,1,0,1,Pollard,Pollard,14,10,0,1,Pattinson,2,3,0,0,Sam Curran,3.0,0,19,1,Ngidi,3.0,0,33,1
MI,16,16.1,4,0,1,1,0,Pattinson,Pollard,11,7,0,1,,0,0,0,0,Ngidi,2.0,0,29,1,Chawla,4.0,0,21,1
MI,15,15.1,10,1,2,0,0,Pollard,Pollard,2,3,0,0,Krunal,2,1,0,0,Chawla,3.0,0,11,1,Jadeja,4.0,0,42,2
MI,14,14.1,5,0,0,2,0,Krunal,Hardik,13,8,0,2,,0,0,0,0,Jadeja,3.0,0,37,1,Chawla,3.0,0,11,1
MI,13,13.1,5,0,2,0,0,Hardik,Tiwary,39,27,3,1,Hardik,12,6,0,2,Chawla,2.0,0,7,1,Ngidi,2.0,0,29,0
MI,12,12.1,11,2,2,0,0,Hardik,Tiwary,27,22,1,1,Hardik,12,5,0,2,Ngidi,1.0,0,18,0,Jadeja,3.0,0,37,0
MI,11,11.1,13,2,3,0,0,Hardik,Tiwary,27,21,1,1,,0,0,0,0,Jadeja,2.0,0,25,0,Chahar,3.0,0,26,1
MI,10,10.1,6,0,1,1,1,Suryakumar,Suryakumar,17,13,2,0,Tiwary,23,18,1,1,Chahar,2.0,0,21,0,Chawla,2.0,0,6,1
MI,9,9.1,3,0,4,0,1,Suryakumar,Suryakumar,16,10,2,0,Tiwary,21,14,1,1,Chawla,1.0,0,4,1,Jadeja,2.0,0,24,0
MI,8,8.1,15,2,0,0,0,Suryakumar,Suryakumar,14,9,2,0,Tiwary,8,10,0,0,Jadeja,1.0,0,10,0,Sam Curran,3.0,0,18,1
MI,7,7.1,8,1,1,0,0,Suryakumar,Suryakumar,7,5,1,0,Tiwary,7,8,0,0,Sam Curran,2.0,0,11,1,Jadeja,1.0,0,9,0
MI,6,6.1,9,1,0,0,0,Tiwary,Suryakumar,1,2,0,0,Tiwary,4,5,0,0,Jadeja,0,0,1,0,Sam Curran,2.0,0,10,1
MI,5,5.1,3,0,3,1,0,Suryakumar,Suryakumar,1,1,0,0,,0,0,0,0,Sam Curran,1.0,0,7,1,Chawla,1.0,0,3,1
MI,4,4.1,3,0,2,1,0,de Kock,Rohit Sharma,12,8,2,0,de Kock,33,17,5,0,Chawla,0,0,0,0,Ngidi,1.0,0,18,0
MI,3,3.1,18,3,0,0,2,de Kock,Rohit Sharma,12,8,2,0,de Kock,16,11,2,0,Ngidi,0,0,1,0,Chahar,2.0,0,20,0
MI,2,2.1,8,1,2,0,0,de Kock,Rohit Sharma,10,4,2,0,de Kock,10,9,1,0,Chahar,1.0,0,13,0,Sam Curran,1.0,0,7,0
MI,1,1.1,7,1,2,0,0,de Kock,Rohit Sharma,5,2,1,0,de Kock,7,5,1,0,Sam Curran,0,0,0,0,Chahar,1.0,0,12,0
MI,0,0.1,12,2,1,0,0,de Kock,Rohit Sharma,4,1,1,0,,0,0,0,0,Chahar,0,0,4,0,,0,0,0,0
