innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,MI,15,6,0,0,1,0,0,RR,76.95,6.93,0,David,RR,field first,Gerald Coetzee,4,6,0,0,Tim David,16,17,1,0,Trent Boult,4.0,0,22,3,Ravichandran Ashwin,4.0,0,27,0,"Wankhede Stadium, Mumbai",203,26.49,8.30,0,0,0,0,0,0,0,0,0,0,4.33,1.0,0,1,0,139,0,0.46
1,PBKS,19,1,4,1,0,0,0,PBKS,91.25,11.68,0,Shashank Singh,,field first,Shashank Singh,26,11,2,2,Shreyas Iyer,97,42,5,9,Mohammed Siraj,3.1,0,35,0,Kagiso Rabada,4.0,0,41,1,"Narendra Modi Stadium, Ahmedabad",68,25.95,8.30,35.91,162.03,0,0,0,0,0,0,0,0,18.0,0,0,1,234,0,0.71
1,PBKS,19,3,4,1,0,0,0,PBKS,91.25,11.79,0,Shashank Singh,,field first,Shashank Singh,32,13,3,2,Shreyas Iyer,97,42,5,9,Mohammed Siraj,3.3,0,41,0,Kagiso Rabada,4.0,0,41,1,"Narendra Modi Stadium, Ahmedabad",68,25.95,8.30,35.91,162.03,0,0,0,0,0,0,0,0,18.0,0,0,1,236,0,0.64
1,PBKS,19,6,4,1,0,0,0,PBKS,86.36,12.15,0,Shashank Singh,,field first,Shreyas Iyer,97,42,5,9,Shashank Singh,44,16,6,2,Mohammed Siraj,4.0,0,54,0,Kagiso Rabada,4.0,0,41,1,"Narendra Modi Stadium, Ahmedabad",68,25.96,8.30,0,0,0,0,0,0,0,0,0,0,15.0,0,0,1,243,0,0.55
2,,11,5,4,1,0,0,0,PBKS,63.39,11.66,12.98,Unknown,,field first,Sai Sudharsan,74,40,5,6,Sai Sudharsan,74,40,5,6,Yuzvendra Chahal,3.0,0,34,0,Yuzvendra Chahal,3.0,0,34,0,"Narendra Modi Stadium, Ahmedabad",68,26.12,8.32,48.36,138.90,48.36,138.90,0,0,0,0,0,0,13.0,0,1,0,233,6.5,0.35
2,,12,1,6,1,0,0,0,PBKS,57.09,11.83,12.77,Unknown,,field first,Jos Buttler,31,19,2,2,Sai Sudharsan,74,40,5,6,Arshdeep Singh,2.1,0,13,0,Yuzvendra Chahal,3.0,0,34,0,"Narendra Modi Stadium, Ahmedabad",68,26.12,8.32,0,0,48.36,138.90,0,0,0,0,0,0,13.0,0,1,0,237,6.4,0.38
2,,12,2,1,0,0,0,0,PBKS,55.09,11.75,12.91,Buttler,,field first,Sai Sudharsan,74,40,5,6,Jos Buttler,32,20,2,2,Arshdeep Singh,2.2,0,14,0,Yuzvendra Chahal,3.0,0,34,0,"Narendra Modi Stadium, Ahmedabad",68,26.12,8.32,48.36,138.90,0,0,0,0,0,0,0,0,13.0,0,1,0,235,6.5,0.29
2,,12,5,4,1,0,0,0,PBKS,66.36,11.68,13.12,Buttler,,field first,Jos Buttler,36,21,3,2,Jos Buttler,38,22,3,2,Arshdeep Singh,3.0,0,21,1,Yuzvendra Chahal,3.0,0,34,0,"Narendra Modi Stadium, Ahmedabad",68,26.10,8.32,0,0,0,0,0,0,0,0,0,0,15.0,0,1,0,234,6.6,0.26
2,,12,6,2,0,0,0,0,PBKS,62.77,11.69,13.14,Buttler,,field first,Sherfane Rutherford,1,1,0,0,Jos Buttler,38,22,3,2,Arshdeep Singh,3.0,0,21,1,Yuzvendra Chahal,3.0,0,34,0,"Narendra Modi Stadium, Ahmedabad",68,26.10,8.32,0,0,0,0,0,0,0,0,0,0,15.0,0,1,0,234,6.6,0.26
2,,13,3,0,0,1,0,0,PBKS,50.78,12.0,12.62,Rutherford,,field first,Sherfane Rutherford,11,4,1,1,Jos Buttler,38,22,3,2,Marcus Stoinis,1.4,0,30,0,Arshdeep Singh,3.0,0,21,1,"Narendra Modi Stadium, Ahmedabad",68,26.10,8.32,15.14,101.92,38.29,147.29,0,0,0,0,0,0,16.0,1.0,0,1,0,240,6.3,0.2
2,,13,5,0,0,1,0,0,GT,56.54,12.14,12.32,Unknown,,field first,Sherfane Rutherford,17,6,1,2,Jos Buttler,38,22,3,2,Marcus Stoinis,1.5,0,30,0,Arshdeep Singh,3.0,0,21,1,"Narendra Modi Stadium, Ahmedabad",68,26.10,8.32,15.14,101.92,38.29,147.29,0,0,0,0,0,0,16.0,1.0,0,1,0,243,6.2,0.25
2,,16,4,0,0,1,0,0,PBKS,84.42,11.1,17.7,Rutherford,,field first,Sherfane Rutherford,22,17,1,2,Jos Buttler,46,28,3,2,Vijaykumar Vyshak,1.5,0,9,0,Marco Jansen,3.0,0,33,0,"Narendra Modi Stadium, Ahmedabad",68,26.15,8.32,18.00,109.56,38.57,147.69,0,0,0,0,0,0,6.5,0,0,1,222,8.8,0.24
2,,16,6,1,0,0,0,0,PBKS,87.12,11.0,19.0,Buttler,,field first,Jos Buttler,47,29,3,2,Sherfane Rutherford,23,18,1,2,Vijaykumar Vyshak,2.0,0,10,0,Marco Jansen,3.0,0,33,0,"Narendra Modi Stadium, Ahmedabad",68,26.15,8.32,38.57,147.69,18.00,109.56,0,0,0,0,0,0,6.5,0,0,1,220,9.5,0.48
2,,17,4,4,1,0,0,0,PBKS,89.17,11.15,19.29,Buttler,,field first,Jos Buttler,54,32,4,2,Sherfane Rutherford,27,20,2,2,Marco Jansen,3.6,0,44,1,Vijaykumar Vyshak,2.0,0,10,0,"Narendra Modi Stadium, Ahmedabad",68,26.15,8.32,0,0,0,0,0,0,0,0,0,0,6.0,0,0,1,225,9.6,0.27
