innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
2,PBKS,4,6,0,0,1,0,0,SRH,88.74,4.0,10.87,Raza,PBKS,field first,Sam Curran,1,3,0,0,Sikandar Raza,0,2,0,0,Bhuvneshwar Kumar,3.0,1,15,2,Pat Cummins,2.0,0,4,1,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",28,20.62,7.62,24.63,135.21,26.0,133.82,27.23,7.56,21.6,27.23,7.56,21.6,4.33,1.0,1,0,0,80,5.4,0.07
1,RR,0,3,1,0,0,0,0,,0,10.0,0,Unknown,KKR,field first,Sanju Samson,0,0,0,0,Yashasvi Jaiswal,5,3,1,0,Spencer Johnson,0.3,0,5,0,Unknown,0,0,0,0,"Barsapara Cricket Stadium, Guwahati",19,27.11,7.86,31.18,138.86,31.52,150.0,29.61,8.35,21.2,0,0,0,1,0,0,200,0,0.68
1,RR,0,4,0,0,1,0,0,,0,7.5,0,Unknown,KKR,field first,Sanju Samson,0,1,0,0,Yashasvi Jaiswal,5,3,1,0,Spencer Johnson,0.4,0,5,0,Unknown,0,0,0,0,"Barsapara Cricket Stadium, Guwahati",19,27.11,7.86,31.18,138.86,31.52,150.0,29.61,8.35,21.2,0,0,0,1,0,0,150,0,0.58
1,RR,0,6,4,1,0,0,0,RR,51.15,9.0,0,Samson,KKR,field first,Yashasvi Jaiswal,5,3,1,0,Sanju Samson,4,3,1,0,Spencer Johnson,1.0,0,9,0,Unknown,0,0,0,0,"Barsapara Cricket Stadium, Guwahati",19,27.14,7.86,31.52,150.0,31.18,138.86,29.61,8.35,21.2,0,0,0,1,0,0,180,0,0.67
1,RR,1,1,1,0,0,0,0,RR,51.15,8.57,0,Unknown,KKR,field first,Yashasvi Jaiswal,5,4,1,0,Sanju Samson,4,3,1,0,Vaibhav Arora,0.1,0,0,0,Spencer Johnson,1.0,0,9,0,"Barsapara Cricket Stadium, Guwahati",19,27.14,7.86,31.52,150.0,31.18,138.86,31.4,9.39,20.0,31.4,9.39,20.0,9.0,1,0,0,171,0,0.71
1,RR,1,4,2,0,0,0,0,KKR,53.79,7.2,0,Unknown,KKR,field first,Sanju Samson,6,6,1,0,Yashasvi Jaiswal,6,4,1,0,Vaibhav Arora,0.4,0,3,0,Spencer Johnson,1.0,0,9,0,"Barsapara Cricket Stadium, Guwahati",19,27.16,7.86,31.18,138.86,31.52,150.0,31.4,9.39,20.0,31.4,9.39,20.0,9.0,1,0,0,144,0,0.6
1,RR,1,6,1,0,0,0,0,KKR,55.59,7.0,0,Jaiswal,KKR,field first,Yashasvi Jaiswal,7,5,1,0,Sanju Samson,7,7,1,0,Vaibhav Arora,1.0,0,5,0,Spencer Johnson,1.0,0,9,0,"Barsapara Cricket Stadium, Guwahati",19,27.18,7.86,31.52,150.0,31.18,138.86,31.4,9.39,20.0,31.4,9.39,20.0,9.0,1,0,0,140,0,0.62
1,RR,2,4,0,0,1,0,0,KKR,53.36,7.5,0,Unknown,KKR,field first,Yashasvi Jaiswal,12,8,2,0,Sanju Samson,8,8,1,0,Spencer Johnson,1.4,0,15,0,Vaibhav Arora,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.19,7.86,31.52,150.0,31.18,138.86,29.61,8.35,21.2,29.61,8.35,21.2,7.0,1,0,0,150,0,0.65
1,RR,2,5,6,1,0,0,0,KKR,53.1,9.17,0,Unknown,KKR,field first,Yashasvi Jaiswal,18,9,2,1,Sanju Samson,8,8,1,0,Spencer Johnson,1.5,0,21,0,Vaibhav Arora,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.19,7.86,31.52,150.0,31.18,138.86,29.61,8.35,21.2,29.61,8.35,21.2,7.0,1,0,0,183,0,0.7
1,RR,2,6,0,0,1,0,0,KKR,53.1,8.66,0,Unknown,KKR,field first,Yashasvi Jaiswal,18,10,2,1,Sanju Samson,8,8,1,0,Spencer Johnson,1.6,0,21,0,Vaibhav Arora,1.0,0,5,0,"Barsapara Cricket Stadium, Guwahati",19,27.19,7.86,31.52,150.0,31.18,138.86,29.61,8.35,21.2,29.61,8.35,21.2,7.0,1,0,0,173,0,0.73
