innings_num,batting_team,over_number,ball_number,total_score,total_wickets,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,SRH,1,3,10,0,0,1,0,0,SRH,59.64,6.66,0,Abhishek Sharma,,field first,Abhishek Sharma,5,4,1,0,Travis Head,5,5,1,0,Avesh Khan,0.3,0,4,0,Shardul Thakur,1.0,0,6,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,25.47,156.01,42.26,193.88,26.72,8.92,17.9,30.08,9.22,19.5,6.0,1,0,0,133,0,0.58
1,SRH,1,4,11,0,0,0,0,0,SRH,57.69,6.6,0,Abhishek Sharma,,field first,Abhishek Sharma,6,5,1,0,Travis Head,5,5,1,0,Avesh Khan,0.4,0,5,0,Shardul Thakur,1.0,0,6,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,25.47,156.01,42.26,193.88,26.72,8.92,17.9,30.08,9.22,19.5,6.0,1,0,0,132,0,0.63
1,SRH,1,5,11,0,0,1,0,0,SRH,55.76,6.0,0,Travis Head,,field first,Travis Head,5,6,1,0,Abhishek Sharma,6,5,1,0,Avesh Khan,0.5,0,5,0,Shardul Thakur,1.0,0,6,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,25.47,156.01,26.72,8.92,17.9,30.08,9.22,19.5,6.0,1,0,0,120,0,0.84
1,SRH,1,6,15,0,1,0,0,0,SRH,52.78,7.5,0,Travis Head,,field first,Travis Head,9,7,2,0,Abhishek Sharma,6,5,1,0,Avesh Khan,0.6,0,9,0,Shardul Thakur,1.0,0,6,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,25.47,156.01,26.72,8.92,17.9,30.08,9.22,19.5,6.0,1,0,0,150,0,0.86
1,SRH,2,1,15,1,0,0,1,0,SRH,54.94,6.92,0,Travis Head,,field first,Travis Head,9,7,2,0,Unknown,0,0,0,0,Shardul Thakur,1.1,0,6,1,Avesh Khan,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,0,0,30.08,9.22,19.5,26.72,8.92,17.9,7.5,1,0,0,138,0,0.75
1,SRH,2,2,15,2,0,0,1,0,LSG,50.04,6.42,0,Travis Head,,field first,Travis Head,9,7,2,0,Unknown,0,0,0,0,Shardul Thakur,1.2,0,6,2,Avesh Khan,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,0,0,30.08,9.22,19.5,26.72,8.92,17.9,7.5,1,0,0,128,0,0.74
1,SRH,2,3,16,2,0,0,0,0,LSG,55.94,6.4,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,1,1,0,0,Travis Head,9,7,2,0,Shardul Thakur,1.3,0,7,2,Avesh Khan,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,30.08,9.22,19.5,26.72,8.92,17.9,7.5,1,0,0,128,0,0.76
1,SRH,2,4,20,2,1,0,0,0,LSG,56.86,7.5,0,Travis Head,,field first,Travis Head,13,8,3,0,Nitish Kumar Reddy,1,1,0,0,Shardul Thakur,1.4,0,11,2,Avesh Khan,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,30.08,9.22,19.5,26.72,8.92,17.9,7.5,1,0,0,150,0,0.88
1,SRH,2,5,21,2,0,0,0,0,LSG,54.76,7.87,0,Travis Head,,field first,Travis Head,13,8,3,0,Nitish Kumar Reddy,1,1,0,0,Shardul Thakur,1.4,0,12,2,Avesh Khan,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,30.08,9.22,19.5,26.72,8.92,17.9,7.5,1,0,0,156,0,0.87
1,SRH,2,6,27,2,1,0,0,0,LSG,51.68,9.0,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,5,2,1,0,Travis Head,14,9,3,0,Shardul Thakur,1.6,0,18,2,Avesh Khan,1.0,0,9,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,30.08,9.22,19.5,26.72,8.92,17.9,7.5,1,0,0,180,0,0.81
1,SRH,3,1,33,2,1,0,0,0,SRH,50.47,10.42,0,Travis Head,,field first,Travis Head,20,10,3,1,Nitish Kumar Reddy,5,2,1,0,Avesh Khan,1.1,0,15,0,Shardul Thakur,2.0,0,18,2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,26.72,8.92,17.9,30.08,9.22,19.5,9.0,2.0,1,0,0,208,0,0.83
1,SRH,3,2,34,2,0,0,0,0,SRH,56.68,10.2,0,Travis Head,,field first,Travis Head,21,11,3,1,Nitish Kumar Reddy,5,2,1,0,Avesh Khan,1.2,0,16,0,Shardul Thakur,2.0,0,18,2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,26.72,8.92,17.9,30.08,9.22,19.5,9.0,2.0,1,0,0,204,0,0.84
1,SRH,3,3,35,2,0,0,0,0,SRH,57.7,10.0,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,6,3,1,0,Travis Head,21,11,3,1,Avesh Khan,1.3,0,17,0,Shardul Thakur,2.0,0,18,2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,26.72,8.92,17.9,30.08,9.22,19.5,9.0,2.0,1,0,0,200,0,0.82
1,SRH,3,4,41,2,1,0,0,0,SRH,56.76,11.18,0,Travis Head,,field first,Travis Head,27,12,3,2,Nitish Kumar Reddy,6,3,1,0,Avesh Khan,1.4,0,23,0,Shardul Thakur,2.0,0,18,2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,26.72,8.92,17.9,30.08,9.22,19.5,9.0,2.0,1,0,0,224,0,0.83
1,SRH,3,5,41,2,0,1,0,0,SRH,60.89,10.69,0,Travis Head,,field first,Travis Head,27,13,3,2,Nitish Kumar Reddy,6,3,1,0,Avesh Khan,1.5,0,23,0,Shardul Thakur,2.0,0,18,2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,26.72,8.92,17.9,30.08,9.22,19.5,9.0,2.0,1,0,0,214,0,0.85
1,SRH,3,6,45,2,1,0,0,0,SRH,61.85,11.25,0,Travis Head,,field first,Travis Head,31,14,4,2,Nitish Kumar Reddy,6,3,1,0,Avesh Khan,1.6,0,27,0,Shardul Thakur,2.0,0,18,2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,26.72,8.92,17.9,30.08,9.22,19.5,9.0,2.0,1,0,0,225,0,0.86
1,SRH,4,1,46,2,0,0,0,0,SRH,62.95,11.04,0,Nitish Kumar Reddy,,field first,Nitish Kumar Reddy,7,4,1,0,Travis Head,31,14,4,2,Digvesh Rathi,0.1,0,1,0,Avesh Khan,2.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,33.3,146.69,42.26,193.88,15.5,7.75,12.0,26.72,8.92,17.9,9.0,2.0,1,0,0,221,0,0.84
1,SRH,4,2,47,2,0,0,0,0,SRH,63.03,10.84,0,Travis Head,,field first,Travis Head,32,15,4,2,Nitish Kumar Reddy,7,4,1,0,Digvesh Rathi,0.2,0,2,0,Avesh Khan,2.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,26.72,8.92,17.9,9.0,2.0,1,0,0,217,0,0.78
1,SRH,4,3,49,2,0,1,0,0,SRH,63.11,10.88,0,Travis Head,,field first,Travis Head,32,16,4,2,Nitish Kumar Reddy,8,5,1,0,Digvesh Rathi,0.3,0,4,0,Avesh Khan,2.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,26.72,8.92,17.9,9.0,2.0,1,0,0,218,0,0.79
1,SRH,4,4,51,2,0,0,0,0,SRH,61.21,10.92,0,Travis Head,,field first,Travis Head,34,17,4,2,Nitish Kumar Reddy,8,5,1,0,Digvesh Rathi,0.4,0,6,0,Avesh Khan,2.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,26.72,8.92,17.9,9.0,2.0,1,0,0,218,0,0.78
1,SRH,4,5,52,2,0,0,0,0,SRH,60.33,10.75,0,Travis Head,,field first,Travis Head,35,18,4,2,Nitish Kumar Reddy,8,5,1,0,Digvesh Rathi,0.5,0,7,0,Avesh Khan,2.0,0,27,0,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",139,26.00,8.20,42.26,193.88,33.3,146.69,15.5,7.75,12.0,26.72,8.92,17.9,9.0,2.0,1,0,0,215,0,0.78
