innings_num,batting_team,over_number,ball_number,total_score,total_wickets,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,GT,2,4,24,0,1,0,0,0,MI,51.42,9.0,0,Sai Sudharsan,MI,field first,Sai Sudharsan,12,8,2,0,Shubman Gill,12,8,2,0,Trent Boult,1.4,0,17,0,Deepak Chahar,1.0,0,7,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,26.91,8.29,19.4,28.7,7.99,21.5,7.0,0,1,0,0,180,0,0.6
1,GT,3,1,27,0,0,0,0,0,MI,53.49,8.52,0,Sai Sudharsan,MI,field first,Sai Sudharsan,13,9,2,0,Shubman Gill,14,10,2,0,Deepak Chahar,1.1,0,8,0,Trent Boult,2.0,0,19,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,28.7,7.99,21.5,26.91,8.29,19.4,8.67,0,1,0,0,170,0,0.68
1,GT,3,2,27,0,0,1,0,0,MI,53.49,8.1,0,Sai Sudharsan,MI,field first,Sai Sudharsan,13,10,2,0,Shubman Gill,14,10,2,0,Deepak Chahar,1.2,0,8,0,Trent Boult,2.0,0,19,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,28.7,7.99,21.5,26.91,8.29,19.4,8.67,0,1,0,0,162,0,0.67
1,GT,3,3,28,0,0,0,0,0,MI,56.55,8.0,0,Sai Sudharsan,MI,field first,Sai Sudharsan,14,11,2,0,Shubman Gill,14,10,2,0,Deepak Chahar,1.3,0,9,0,Trent Boult,2.0,0,19,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,28.7,7.99,21.5,26.91,8.29,19.4,8.67,0,1,0,0,160,0,0.66
1,GT,3,4,28,0,0,1,0,0,MI,56.55,7.63,0,Shubman Gill,MI,field first,Shubman Gill,14,11,2,0,Sai Sudharsan,14,11,2,0,Deepak Chahar,1.4,0,9,0,Trent Boult,2.0,0,19,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,37.77,136.28,48.17,141.32,28.7,7.99,21.5,26.91,8.29,19.4,8.67,0,1,0,0,153,0,0.71
1,GT,3,5,29,0,0,0,0,0,MI,57.56,7.56,0,Shubman Gill,MI,field first,Shubman Gill,15,12,2,0,Sai Sudharsan,14,11,2,0,Deepak Chahar,1.5,0,10,0,Trent Boult,2.0,0,19,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,37.77,136.28,48.17,141.32,28.7,7.99,21.5,26.91,8.29,19.4,8.67,0,1,0,0,151,0,0.68
1,GT,3,6,30,0,0,0,0,1,MI,59.55,7.82,0,Sai Sudharsan,MI,field first,Sai Sudharsan,14,11,2,0,Shubman Gill,15,12,2,0,Deepak Chahar,1.5,0,11,0,Trent Boult,2.0,0,19,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,28.7,7.99,21.5,26.91,8.29,19.4,8.67,0,1,0,0,155,0,0.7
1,GT,4,1,35,0,1,0,0,0,MI,59.55,8.4,0,Sai Sudharsan,MI,field first,Sai Sudharsan,19,13,3,0,Shubman Gill,15,12,2,0,Mujeeb Ur Rahman,0.1,0,4,0,Deepak Chahar,2.0,0,12,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,31.15,8.18,22.8,28.7,7.99,21.5,8.67,0,1,0,0,168,0,0.75
1,GT,4,2,39,0,1,0,0,0,MI,57.57,9.0,0,Sai Sudharsan,MI,field first,Sai Sudharsan,23,14,4,0,Shubman Gill,15,12,2,0,Mujeeb Ur Rahman,0.2,0,8,0,Deepak Chahar,2.0,0,12,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,31.15,8.18,22.8,28.7,7.99,21.5,8.67,0,1,0,0,180,0,0.76
1,GT,4,3,41,0,0,1,0,0,MI,51.43,9.11,0,Sai Sudharsan,MI,field first,Sai Sudharsan,25,15,3,1,Shubman Gill,15,12,2,0,Mujeeb Ur Rahman,0.3,0,10,0,Deepak Chahar,2.0,0,12,0,"Narendra Modi Stadium, Ahmedabad",69,26.14,8.33,48.17,141.32,37.77,136.28,31.15,8.18,22.8,28.7,7.99,21.5,8.67,0,1,0,0,182,0,0.71
