Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s
S Dhawan,2008-2024,232,231,29,7133,106,35.31,5621,126.89,2,53,11,809
RG Sharma,2008-2025,269,264,30,6950,109,29.70,5312,130.83,2,44,18,623
DA Warner,2009-2024,186,185,22,6586,126,40.40,4715,139.68,4,62,11,667
SK Raina,2008-2021,229,224,32,6370,109,33.17,4599,138.50,2,44,8,575
MS Dhoni,2008-2025,289,253,104,5692,84,38.20,4132,137.75,0,25,8,391
AM Rahane,2008-2025,192,178,18,4986,105,31.16,4034,123.59,2,35,13,511
SV Samson,2013-2025,175,170,20,4677,119,31.18,3368,138.86,3,29,11,381
RV Uthappa,2008-2022,179,175,14,4613,88,28.65,3571,129.17,0,24,7,470
AT Rayudu,2010-2023,226,207,34,4567,100,26.39,3630,125.81,1,22,15,375
G Gambhir,2008-2018,172,169,18,4545,93,30.09,3680,123.50,0,39,15,525
KL Rahul,2014-2024,113,109,17,4266,132,46.36,3192,133.64,4,33,3,359
KD Karthik,2008-2021,210,193,38,4183,97,26.98,3214,130.14,0,21,12,407
KA Pollard,2010-2022,211,193,57,3915,87,28.78,2663,147.01,0,18,6,250
SA Yadav,2011-2025,159,142,26,3746,103,32.29,2578,145.30,2,24,11,395
SR Watson,2008-2020,127,124,14,3726,117,33.87,2683,138.87,4,21,6,363
JC Buttler,2016-2025,108,107,12,3636,124,38.27,2461,147.74,7,20,7,359
MK Pandey,2008-2024,158,147,25,3605,94,29.54,2957,121.91,0,23,13,307
YK Pathan,2008-2019,190,166,48,3372,100,28.57,2388,141.20,1,13,10,270
RR Pant,2016-2025,112,111,17,3284,128,34.93,2211,148.53,1,18,5,296
Shubman Gill,2018-2025,104,101,15,3249,129,37.77,2384,136.28,4,20,4,312
SS Iyer,2015-2025,117,116,19,3224,97,33.23,2495,129.21,0,22,6,276
F du Plessis,2012-2025,109,101,9,3175,96,34.51,2407,131.90,0,23,5,290
M Vijay,2009-2020,125,125,5,3116,127,25.96,2570,121.24,2,16,7,300
DA Miller,2012-2025,136,130,47,3075,101,37.04,2202,139.64,1,13,5,220
V Sehwag,2008-2015,116,115,5,3042,122,27.65,1997,152.32,2,19,10,371
WP Saha,2008-2024,182,156,28,3029,115,23.66,2394,126.52,1,13,8,302
Q de Kock,2013-2025,100,100,6,2960,140,31.48,2195,134.85,2,22,4,297
RA Jadeja,2008-2025,241,183,76,2849,62,26.62,2170,131.29,0,3,9,207
