Player,Encoded_Value
A Raghuvanshi,0
Abdul Samad,1
Abhishek Sharma,2
Abishek Porel ,3
Adam Zampa,4
Agarwal,5
Aiden Markram (c),6
Ajinkya Rahane,7
Aman Khan,8
Ambati Rayudu,9
Andre Russell,10
Anmolpreet Singh ,11
Anrich Nortje,12
Anshul Kamboj,13
Anuj Rawat ,14
Anukul Roy,15
Arjun Tendulkar,16
Arshad Khan,17
Atharva,18
Axar Patel (c),19
Azmatullah,20
B Sai Sudharsan,21
Badoni,22
Bairstow,23
Ben Stokes,24
Bhuvneshwar Kumar (c),25
Cameron Green,26
Chris Jordan,27
Daryl Mitchell,28
David Warner (c),29
David Willey,30
Deepak Chahar,31
Devdutt Padikkal,32
Devon Conway,33
Dewald Brevis,34
Dhruv Jurel,35
Dinesh Karthik ,36
Faf du Plessis (c),37
Gerald Coetzee,38
Gill,39
Glenn Maxwell,40
Gowtham,41
Hardik Pandya (c),42
Harpreet Brar,43
Harpreet Singh,44
Harry Brook,45
Harshal Patel,46
Heinrich Klaasen ,47
Hooda,48
Hrithik Shokeen,49
Ishan Kishan ,50
Ishant Sharma,51
J Fraser,52
Jacks,53
Jason Behrendorff,54
Jason Roy,55
Jasprit Bumrah,56
Jaydev Unadkat,57
Joe Root,58
Johnson,59
Jos Buttler,60
Karn Sharma,61
Kedar Jadhav,62
Krunal,63
Kuldeep Yadav,64
Kumar Kartikeya,65
Kumar Kushagra,66
Lalit Yadav,67
Livingstone,68
Lockie Ferguson,69
Luke Wood,70
MS Dhoni (c),71
MW Short,72
Mahipal Lomror,73
Manish Pandey,74
Manohar,75
Marco Jansen,76
Mayank Markande,77
Mayers,78
Michael Bracewell,79
Miller,80
Mitchell Marsh,81
Mitchell Starc,82
Moeen Ali,83
Mohammed Siraj,84
Mohsin Khan,85
Mukesh Kumar,86
Mustafizur Rahman,87
Naman Dhir,88
Narayan Jagadeesan ,89
Naveen,90
Nehal Wadhera,91
Nitish Kumar Reddy,92
Nitish Rana (c),93
Nonchalantly,94
Noor Ahmad,95
Pat Cummins (c),96
Patidar,97
Phil Salt ,98
Piyush Chawla,99
Pooran,100
Prabhsimran,101
Prithvi Shaw,102
Priyam Garg,103
Rachin Ravindra,104
Rahmanullah Gurbaz ,105
Rahul Tripathi,106
Rajapaksa,107
Ramandeep Singh,108
Rashid Khan,109
Rasikh Salam,110
Ravi Bishnoi,111
Ravichandran Ashwin,112
Ravindra Jadeja,113
Raza,114
Ricky Bhui,115
Rilee Rossouw,116
Rinku Singh,117
Ripal Patel,118
Rishabh Pant (c),119
Riyan Parag,120
Rohit Sharma (c),121
Rovman Powell,122
Ruturaj Gaikwad (c),123
S Dhawan,124
SS Prabhudessai,125
Saha,126
Sam Curran,127
Sandeep Sharma,128
Sanju Samson (c),129
Sarfaraz Khan ,130
Shahbaz Ahmed,131
Shahrukh Khan,132
Shai Hope,133
Shankar,134
Sharath,135
Shardul Thakur,136
Shashank Singh,137
Shimron Hetmyer,138
Shivam Dube,139
Shreyas Iyer (c),140
Shubham Dubey,141
Shubman Gill,142
Stoinis,143
Sumit Kumar,144
Sunil Narine,145
Suryakumar Yadav,146
Swapnil,147
Tewatia,148
Tilak Varma,149
Tim David,150
Tom Kohler-Cadmore,151
Travis Head,152
Trent Boult,153
Tristan Stubbs,154
Turner,155
Umesh Yadav,156
Unknown,157
Vaibhav Arora,158
Venkatesh Iyer,159
Virat Kohli (c),160
Vishnu Vinod ,161
Vivrant Sharma,162
Wanindu Hasaranga,163
Washington Sundar,164
Yashasvi Jaiswal,165
Yudhvir Singh,166
de Kock,167
