Player,Encoded_Value
Abhishek Sharma,0
Adam Zampa,1
Adil Rashid,2
Aiden Markram (c),3
Akash Deep,4
Akash Madhwal,5
Akash Singh,6
Akeal Hosein,7
Alzarri Joseph,8
Andre Russell,9
Anrich Nortje,10
Anshul Kamboj,11
Anukul Roy,12
Arjun Tendulkar,13
Arshad Khan,14
Arshdeep,15
Avesh Khan,16
Axar Patel (c),17
Azmatullah,18
Badoni,19
Bhuvneshwar Kumar (c),20
Cameron Green,21
Chetan Sakariya,22
Chris Jordan,23
Daryl Mitchell,24
David Wiese,25
David Willey,26
Deepak Chahar,27
Dushmantha Chameera,28
Dwaine Pretorius,29
Ellis,30
Fazalhaq Farooqi,31
Gerald Coetzee,32
Glenn Maxwell,33
Glenn Phillips ,34
Gowtham,35
Gulbadin Naib,36
Haq,37
Hardik Pandya (c),38
Harpreet Brar,39
Harshal Patel,40
Harshit Rana,41
Henry,42
Himanshu Sharma,43
Hooda,44
Hrithik Shokeen,45
Ishant Sharma,46
Jacks,47
Jamie Overton,48
Jason Behrendorff,49
Jason Holder,50
Jasprit Bumrah,51
Jayant Yadav,52
Jaydev Unadkat,53
Jhye Richardson,54
Joe Root,55
Jofra Archer,56
Johnson,57
Josh Hazlewood,58
KM Asif,59
Karn Sharma,60
Kartik Tyagi,61
Kaverappa,62
Keshav Maharaj,63
Khaleel Ahmed,64
Krunal,65
Kuldeep Sen,66
Kuldeep Yadav,67
Kulwant Khejroliya,68
Kumar Kartikeya,69
Kwena Maphaka,70
Lalit Yadav,71
Little,72
Livingstone,73
Lizaad Williams,74
Lockie Ferguson,75
Luke Wood,76
M Ashwin,77
M Nabi,78
MW Short,79
Maheesh Theekshana,80
Mahipal Lomror,81
Marco Jansen,82
Matheesha Pathirana,83
Mayank Dagar,84
Mayank Markande,85
Mayers,86
Michael Bracewell,87
Mishra,88
Mitchell Marsh,89
Mitchell Santner,90
Mitchell Starc,91
Moeen Ali,92
Mohammed Siraj,93
Mohit,94
Mohsin Khan,95
Mukesh Choudhary,96
Mukesh Kumar,97
Mustafizur Rahman,98
Nalkande,99
Naman Dhir,100
Nandre Burger,101
Navdeep Saini,102
Nehal Wadhera,103
Nitish Kumar Reddy,104
Nitish Rana (c),105
Noor Ahmad,106
Nuwan Thushara,107
Pat Cummins (c),108
Piyush Chawla,109
RS Hangargekar,110
Rabada,111
Rashid Khan,112
Rasikh Salam,113
Ravi Bishnoi,114
Ravichandran Ashwin,115
Ravindra Jadeja,116
Raza,117
Reece Topley,118
Richard Gleeson,119
Riley Meredith,120
Riyan Parag,121
Rohit Sharma (c),122
Romario Shepherd,123
Rovman Powell,124
S Dhawan,125
Sai Kishore,126
Sam Curran,127
Sandeep Sharma,128
Shahbaz Ahmed,129
Shahrukh Khan,130
Shamar Joseph,131
Shami,132
Shams Mulani,133
Shardul Thakur,134
Shashank Singh,135
Shivam Dube,136
Shreyas Gopal,137
Siddharth,138
Simarjeet Singh,139
Sisanda Magala,140
Stoinis,141
Sumit Kumar,142
Sunil Narine,143
Suryakumar Yadav,144
Suthar,145
Suyash Sharma,146
Swapnil,147
T Natarajan,148
Tewatia,149
Tilak Varma,150
Tim Southee,151
Trent Boult,152
Tristan Stubbs,153
Tushar Deshpande,154
Umesh Yadav,155
Umran Malik,156
Unknown,157
Vaibhav Arora,158
Varun Chakravarthy,159
Venkatesh Iyer,160
Vijayakanth Viyaskanth,161
Vijaykumar Vyshak,162
Vivrant Sharma,163
Wanindu Hasaranga,164
Washington Sundar,165
Wayne Parnell,166
Yash Dayal,167
Yudhvir Singh,168
Yuzvendra Chahal,169
