match_id,innings_num,over_number,runs_in_over,wickets_in_over,boundaries_in_over,dot_balls,current_run_rate,required_run_rate
1359475,1.0,0,2.0,0.0,0.0,4.0,2.0,
1359475,1.0,1,11.0,0.0,2.0,1.0,6.5,
1359475,1.0,2,1.0,1.0,0.0,4.0,4.67,
1359475,1.0,3,15.0,0.0,3.0,2.0,7.25,
1359475,1.0,4,17.0,0.0,3.0,1.0,9.2,
1359475,1.0,5,5.0,1.0,1.0,3.0,8.5,
1359475,1.0,6,13.0,0.0,2.0,3.0,9.14,
1359475,1.0,7,8.0,1.0,1.0,0.0,9.0,
1359475,1.0,8,18.0,0.0,3.0,3.0,10.0,
1359475,1.0,9,3.0,0.0,0.0,3.0,9.3,
1359475,1.0,10,7.0,0.0,1.0,4.0,9.09,
1359475,1.0,11,14.0,0.0,2.0,2.0,9.5,
1359475,1.0,12,7.0,1.0,1.0,1.0,9.31,
1359475,1.0,13,4.0,0.0,0.0,2.0,8.93,
1359475,1.0,14,8.0,0.0,1.0,1.0,8.87,
1359475,1.0,15,7.0,0.0,0.0,1.0,8.75,
1359475,1.0,16,11.0,0.0,1.0,1.0,8.88,
1359475,1.0,17,4.0,2.0,0.0,0.0,8.61,
1359475,1.0,18,10.0,1.0,1.0,1.0,8.68,
1359475,1.0,19,13.0,0.0,2.0,1.0,8.9,
1359475,1.0,20,0.0,0.0,0.0,0.0,,
1359475,2.0,0,3.0,0.0,0.0,4.0,3.0,9.26
1359475,2.0,1,15.0,0.0,3.0,2.0,9.0,8.94
1359475,2.0,2,11.0,0.0,1.0,0.0,9.67,8.82
1359475,2.0,3,12.0,1.0,2.0,1.0,10.25,8.62
1359475,2.0,4,15.0,0.0,2.0,1.0,11.2,8.2
1359475,2.0,5,9.0,0.0,2.0,3.0,10.83,8.14
1359475,2.0,6,6.0,0.0,0.0,2.0,10.14,8.31
1359475,2.0,7,11.0,0.0,2.0,1.0,10.25,8.08
1359475,2.0,8,7.0,0.0,0.0,1.0,9.89,8.18
1359475,2.0,9,4.0,1.0,0.0,2.0,9.3,8.6
1359475,2.0,10,13.0,0.0,2.0,1.0,9.64,8.11
1359475,2.0,11,5.0,0.0,0.0,1.0,9.25,8.5
1359475,2.0,12,3.0,1.0,0.0,3.0,8.77,9.29
1359475,2.0,13,13.0,0.0,2.0,1.0,9.07,8.67
1359475,2.0,14,11.0,1.0,1.0,0.0,9.2,8.2
1359475,2.0,15,7.0,0.0,1.0,2.0,9.06,8.5
1359475,2.0,16,4.0,0.0,0.0,2.0,8.76,10.0
1359475,2.0,17,7.0,1.0,1.0,3.0,8.67,11.5
1359475,2.0,18,15.0,0.0,3.0,2.0,9.0,8.0
1359475,2.0,19,11.0,0.0,2.0,0.0,9.41,0.0
1359475,2.0,20,0.0,0.0,0.0,0.0,,
1359476,1.0,0,9.0,0.0,1.0,3.0,9.0,
1359476,1.0,1,14.0,1.0,3.0,2.0,11.5,
1359476,1.0,2,1.0,0.0,0.0,5.0,8.0,
1359476,1.0,3,12.0,0.0,2.0,1.0,9.0,
1359476,1.0,4,14.0,0.0,3.0,3.0,10.0,
1359476,1.0,5,6.0,0.0,1.0,3.0,9.33,
1359476,1.0,6,13.0,0.0,2.0,2.0,9.86,
1359476,1.0,7,10.0,0.0,1.0,1.0,9.88,
1359476,1.0,8,12.0,0.0,1.0,2.0,10.11,
1359476,1.0,9,9.0,0.0,1.0,0.0,10.0,
1359476,1.0,10,9.0,1.0,1.0,1.0,9.91,
1359476,1.0,11,12.0,0.0,1.0,1.0,10.08,
1359476,1.0,12,8.0,0.0,1.0,1.0,9.92,
1359476,1.0,13,13.0,1.0,2.0,1.0,10.14,
1359476,1.0,14,1.0,1.0,0.0,4.0,9.53,
1359476,1.0,15,10.0,0.0,1.0,2.0,9.56,
1359476,1.0,16,11.0,0.0,1.0,1.0,9.65,
1359476,1.0,17,4.0,1.0,0.0,2.0,9.33,
1359476,1.0,18,8.0,0.0,1.0,1.0,9.26,
1359476,1.0,19,15.0,0.0,2.0,1.0,9.55,
1359476,1.0,20,0.0,0.0,0.0,0.0,,
1359476,2.0,0,13.0,0.0,2.0,1.0,13.0,9.42
1359476,2.0,1,4.0,2.0,1.0,3.0,8.5,9.72
1359476,2.0,2,7.0,0.0,1.0,2.0,8.0,9.88
1359476,2.0,3,5.0,0.0,1.0,4.0,7.25,10.19
1359476,2.0,4,6.0,1.0,1.0,3.0,7.0,10.47
1359476,2.0,5,11.0,0.0,2.0,2.0,7.67,10.43
1359476,2.0,6,4.0,0.0,0.0,2.0,7.14,10.92
1359476,2.0,7,10.0,0.0,1.0,0.0,7.5,11.0
1359476,2.0,8,15.0,0.0,3.0,2.0,8.33,10.64
1359476,2.0,9,5.0,1.0,0.0,1.0,8.0,11.2
1359476,2.0,10,3.0,1.0,0.0,2.0,7.55,12.11
1359476,2.0,11,8.0,0.0,1.0,2.0,7.58,12.62
1359476,2.0,12,9.0,0.0,1.0,2.0,7.69,13.14
1359476,2.0,13,18.0,0.0,1.0,1.0,8.43,12.33
1359476,2.0,14,18.0,1.0,3.0,0.0,9.07,11.2
1359476,2.0,15,10.0,1.0,1.0,0.0,9.12,11.5
1359476,2.0,16,0.0,0.0,0.0,0.0,,
1359476,2.0,20,0.0,0.0,0.0,1.0,,
1359477,1.0,0,1.0,0.0,0.0,5.0,1.0,
1359477,1.0,1,5.0,0.0,0.0,3.0,3.0,
1359477,1.0,2,6.0,0.0,1.0,3.0,4.0,
1359477,1.0,3,7.0,1.0,1.0,3.0,4.75,
