Phase,Innings,Over,Batting_Team,Bowling_Team,Market_Favored_Team,Model_Favored_Team,Current_Score,Market_Win_Pct,Market_Favored_Win_Pct,Model_Win_Pct,Diff_Pct,Value_Category,Actual_Outcome,Predicted_Outcome,Prediction_Correct
,1,0.0.1,CSK,Unknown,Unknown,Unknown,0.0,,,41.0,,Neutral,Loss,Loss,True
,1,0.0.2,CSK,Unknown,Unknown,Unknown,1.0,,,41.0,,Neutral,Loss,Loss,True
,1,0.0.3,CSK,Unknown,Unknown,CSK,1.0,,,52.0,,Neutral,Loss,Win,False
,1,0.0.4,CSK,Unknown,Unknown,Unknown,2.0,,,46.0,,Neutral,Loss,Loss,True
,1,0.0.5,CSK,Unknown,Unknown,CSK,2.0,,,50.0,,Neutral,Loss,Loss,True
,1,0.0.6,CSK,Unknown,Unknown,CSK,2.0,,,50.0,,Neutral,Loss,Loss,True
,1,1.1.1,CSK,Unknown,GT,Unknown,6.0,56.3,43.7,49.0,5.3,Slight Overvalued,Loss,Loss,True
,1,1.1.2,CSK,Unknown,GT,Unknown,6.0,56.3,43.7,48.0,4.3,Slight Overvalued,Loss,Loss,True
,1,1.1.3,CSK,Unknown,GT,CSK,10.0,56.3,43.7,51.0,7.3,Slight Overvalued,Loss,Win,False
,1,1.1.4,CSK,Unknown,GT,CSK,11.0,56.3,43.7,52.0,8.3,Neutral,Loss,Win,False
,1,1.1.5,CSK,Unknown,GT,CSK,12.0,56.3,43.7,54.0,10.3,Neutral,Loss,Win,False
,1,1.1.6,CSK,Unknown,GT,CSK,13.0,56.3,43.7,52.0,8.3,Neutral,Loss,Win,False
,1,2.2.1,CSK,Unknown,GT,Unknown,14.0,51.7,48.3,44.0,-4.3,Slight Overvalued,Loss,Loss,True
,1,2.2.2,CSK,Unknown,GT,Unknown,14.0,51.7,48.3,40.0,-8.3,Strong Overvalued,Loss,Loss,True
,1,2.2.3,CSK,Unknown,GT,Unknown,14.0,51.7,48.3,36.0,-12.3,Strong Overvalued,Loss,Loss,True
,1,2.2.4,CSK,Unknown,GT,Unknown,14.0,51.7,48.3,36.0,-12.3,Strong Overvalued,Loss,Loss,True
,1,2.2.5,CSK,Unknown,GT,Unknown,14.0,51.7,48.3,35.0,-13.3,Strong Overvalued,Loss,Loss,True
,1,2.2.6,CSK,Unknown,GT,Unknown,14.0,51.7,48.3,35.0,-13.3,Strong Overvalued,Loss,Loss,True
,1,3.3.1,CSK,Unknown,GT,Unknown,20.0,59.7,40.3,36.0,-4.3,Strong Overvalued,Loss,Loss,True
,1,3.3.2,CSK,Unknown,GT,Unknown,24.0,59.7,40.3,41.0,0.7,Strong Overvalued,Loss,Loss,True
,1,3.3.3,CSK,Unknown,GT,Unknown,25.0,59.7,40.3,40.0,-0.3,Strong Overvalued,Loss,Loss,True
,1,3.3.4,CSK,Unknown,GT,Unknown,25.0,59.7,40.3,37.0,-3.3,Strong Overvalued,Loss,Loss,True
,1,3.3.5,CSK,Unknown,GT,Unknown,29.0,59.7,40.3,43.0,2.7,Strong Overvalued,Loss,Loss,True
,1,3.3.6,CSK,Unknown,GT,Unknown,29.0,59.7,40.3,40.0,-0.3,Strong Overvalued,Loss,Loss,True
,1,4.4.1,CSK,Unknown,CSK,Unknown,29.0,60.7,60.7,44.0,-16.7,Strong Overvalued,Loss,Loss,True
,1,4.4.2,CSK,Unknown,CSK,Unknown,30.0,60.7,60.7,42.0,-18.7,Strong Overvalued,Loss,Loss,True
,1,4.4.3,CSK,Unknown,CSK,Unknown,34.0,60.7,60.7,48.0,-12.7,Strong Overvalued,Loss,Loss,True
,1,4.4.4,CSK,Unknown,CSK,CSK,40.0,60.7,60.7,50.0,-10.7,Strong Overvalued,Loss,Loss,True
,1,4.4.4,CSK,Unknown,CSK,CSK,41.0,60.7,60.7,52.0,-8.7,Slight Overvalued,Loss,Win,False
,1,4.4.5,CSK,Unknown,CSK,CSK,45.0,60.7,60.7,59.0,-1.7,Neutral,Loss,Win,False
,1,4.4.6,CSK,Unknown,CSK,CSK,46.0,60.7,60.7,59.0,-1.7,Neutral,Loss,Win,False
,1,5.5.1,CSK,Unknown,CSK,CSK,46.0,74.6,74.6,51.0,-23.6,Strong Overvalued,Loss,Win,False
,1,5.5.2,CSK,Unknown,CSK,CSK,46.0,74.6,74.6,51.0,-23.6,Strong Overvalued,Loss,Win,False
,1,5.5.3,CSK,Unknown,CSK,CSK,46.0,74.6,74.6,51.0,-23.6,Strong Overvalued,Loss,Win,False
,1,5.5.4,CSK,Unknown,CSK,Unknown,50.0,74.6,74.6,48.0,-26.6,Strong Overvalued,Loss,Loss,True
,1,5.5.5,CSK,Unknown,CSK,CSK,50.0,74.6,74.6,50.0,-24.6,Strong Overvalued,Loss,Loss,True
,1,5.5.6,CSK,Unknown,CSK,CSK,51.0,74.6,74.6,57.0,-17.6,Strong Overvalued,Loss,Win,False
,1,6.6.1,CSK,Unknown,CSK,CSK,51.0,73.7,73.7,60.0,-13.7,Strong Overvalued,Loss,Win,False
,1,6.6.2,CSK,Unknown,CSK,CSK,52.0,73.7,73.7,58.0,-15.7,Strong Overvalued,Loss,Win,False
,1,6.6.3,CSK,Unknown,CSK,CSK,58.0,73.7,73.7,63.0,-10.7,Strong Overvalued,Loss,Win,False
,1,6.6.4,CSK,Unknown,CSK,CSK,64.0,73.7,73.7,84.0,10.3,Strong Value,Loss,Win,False
,1,6.6.5,CSK,Unknown,CSK,CSK,64.0,73.7,73.7,78.0,4.3,Neutral,Loss,Win,False
,1,6.6.6,CSK,Unknown,CSK,CSK,64.0,73.7,73.7,67.0,-6.7,Slight Overvalued,Loss,Win,False
,1,7.7.1,CSK,Unknown,CSK,CSK,65.0,82.8,82.8,70.0,-12.8,Strong Overvalued,Loss,Win,False
,1,7.7.2,CSK,Unknown,CSK,CSK,66.0,82.8,82.8,69.0,-13.8,Strong Overvalued,Loss,Win,False
,1,7.7.3,CSK,Unknown,CSK,CSK,70.0,82.8,82.8,80.0,-2.8,Neutral,Loss,Win,False
,1,7.7.4,CSK,Unknown,CSK,CSK,70.0,82.8,82.8,64.0,-18.8,Strong Overvalued,Loss,Win,False
,1,7.7.5,CSK,Unknown,CSK,CSK,71.0,82.8,82.8,74.0,-8.8,Slight Overvalued,Loss,Win,False
,1,7.7.6,CSK,Unknown,CSK,CSK,72.0,82.8,82.8,73.0,-9.8,Slight Overvalued,Loss,Win,False
,1,8.8.1,CSK,Unknown,CSK,CSK,78.0,78.6,78.6,79.0,0.4,Neutral,Loss,Win,False
,1,8.8.2,CSK,Unknown,CSK,CSK,78.0,78.6,78.6,76.0,-2.6,Neutral,Loss,Win,False
,1,8.8.3,CSK,Unknown,CSK,CSK,78.0,78.6,78.6,73.0,-5.6,Slight Overvalued,Loss,Win,False
,1,8.8.4,CSK,Unknown,CSK,CSK,84.0,78.6,78.6,81.0,2.4,Neutral,Loss,Win,False
,1,8.8.5,CSK,Unknown,CSK,CSK,84.0,78.6,78.6,80.0,1.4,Neutral,Loss,Win,False
,1,8.8.6,CSK,Unknown,CSK,CSK,90.0,78.6,78.6,83.0,4.4,Neutral,Loss,Win,False
,1,9.9.1,CSK,Unknown,CSK,CSK,90.0,88.8,88.8,85.0,-3.8,Neutral,Loss,Win,False
,1,9.9.2,CSK,Unknown,CSK,CSK,91.0,88.8,88.8,85.0,-3.8,Neutral,Loss,Win,False
,1,9.9.3,CSK,Unknown,CSK,CSK,92.0,88.8,88.8,85.0,-3.8,Neutral,Loss,Win,False
,1,9.9.4,CSK,Unknown,CSK,CSK,93.0,88.8,88.8,85.0,-3.8,Neutral,Loss,Win,False
,1,9.9.5,CSK,Unknown,CSK,CSK,93.0,88.8,88.8,85.0,-3.8,Neutral,Loss,Win,False
,1,9.9.6,CSK,Unknown,CSK,CSK,93.0,88.8,88.8,85.0,-3.8,Neutral,Loss,Win,False
,1,10.10.1,CSK,Unknown,CSK,CSK,93.0,83.5,83.5,77.0,-6.5,Slight Overvalued,Loss,Win,False
,1,10.10.2,CSK,Unknown,CSK,CSK,93.0,83.5,83.5,75.0,-8.5,Slight Overvalued,Loss,Win,False
